utterance,intent
남편때문에 속이 다 울렁거린다,식욕저하
나도 작년이 마지막이였다 제주도 하하,일상
잠이 한숨도 안 온다,불면
또 다른 제2의 지구 있으면 바로 간다 키키,일상
맞아. 너 가족이랑 떨어져 살면서 전화도 많이 안하고 그러고 살잖어,일상
인싸만 가능한 옆좌석 앉아야지...,일상
한국화를 배우는데 소질이 없어서 더 우울하고.,우울감
잠 못 잔 지 한 사흘 된 것 같아요.,불면
올해 말이나 내년 초쯤에 나온다고 하더라,일상
오늘 나 혼자 산다 볼 거야?,일상
하와이 진짜 좋지 언제 가볼까,일상
몸이 왜 이렇게 심하게 처지지?,피로
그렇게 하기엔 지금 남자친구가 강아지를 별로 안 좋아해,일상
그러게 우리나라가 유독 심한 것 같아,일상
으 나도 영화관 좀 자주 갈걸,일상
게임에 비하면 뜨개질이 훨씬 건전하지,일상
배터리가 고장 난 것처럼 피로가 안 풀리고 몸이 무거워,피로
알겠어 꼭 맞아야지,일상
너는 지금 주택에 살고 있어?,일상
"오,, 나두 홍진호 임요환밖에 없어.",일상
근데 요즘 들어서는 그런 생각만으로 우울감이 안 사라져.,우울감
오오 하하 나도 그래서 희망을 가졌는데... 올초에 신청햇다가 떨어짐 키키,일상
아예 안 다닐 순 없지 우리도 편리하게 이용 하잖아 키키,일상
어제도 네 시간 겨우 잤나. 근데 계속 자다 깨다 반복해서 너무 피곤해.,피로
집안일만 하려고 하면 힘이 빠져,피로
내가 너무 못생겼다는 생각이 드니까 사람들 눈을 못 마주치겠어.,자존감저하
신랑때문에 자다가 뒤척거려요,불면
헉 최근 일주일간 점점 줄어들고 있었는데.,일상
요즘 이해가 잘 안 되는 거 같아요,집중력저하
맞아요 가끔 너무 적나라한 전쟁상황을 묘사해서 징그럽더라고요,일상
그니까 키키 진짜 착하고 차분하고 애교도 많고,일상
오 할머니 생신 축하드려,일상
나도 갑자기 저렇게 아플까봐 걱정이 되더라.,초조함
공익 가는것도 경쟁률이 세?,일상
아버님은 중학교 때 돌아가셨어요.,일상
남들보다 뒤처지는 느낌이 들고 너무 우울해. 집에 누워만 있게 돼.,우울감
춤 추는 영상 없어? 키키,일상
하나님이 날 버리신 걸까?,절망감
앞으로만 생각하면 다 걱정이고 계속 남과 비교하면서 나도 모르게 술 마셨어,우울감
뭘 해도 안 될 것 같고 하려고 했던 마음이 사라지는 것 같아,우울감
패배감에 시달리고 있어,우울감
요즘에는 어디 잘 나가지도 않거든요.,무기력
맞아 단체미팅 엄청 기대하고 나갔었는데,일상
입맛이 하나도 없어.,식욕저하
캠핑 가나?,일상
수술이 제대로 되지 않은 것 같은 불안함이 있어요.,초조함
내 말이 너무너무 느려서 나도 짜증이 나,초조함
는 나 버리고 갔어,일상
회사 사람들과 일 끝나고 같이 술마시고 노래방 가는 재미도 쏠쏠 합니다.,일상
기분도 많이 우울해요.,우울감
"약을 안 먹으면 못 자고 밤을 꼴딱 새우고, 먹어도 아침 10시까지 눈을 못 떠.",불면
쉬고 있을 때 몸무게가 줄어,식욕저하
예전에는 안 이랬는데 왜 이렇게 많이 떠는지 모르겠어,초조함
치료할 때 아픈 건 아주 잠깐이야!,일상
체중은 늘 고민이지,일상
하기 싫은 건 계속 하기 싫고 그냥 죽고 싶어요.,자살충동
남자친구가 내 생일 완전 까먹었었어,일상
미안한 일만 계속 생기는 거 같아,죄책감
엥? 근데 왜 창문으로 도망쳤지? 일본 지하철은 문이 안 열리나?,일상
아기가 자꾸 안 생기니까 좌절감이 커지더라고,절망감
제대로 휴식을 취해야 하는데 점점 더 예민해져서.,초조함
되는 일이 없으니까 자꾸 처지고 의욕이 안 생겨,우울감
인생이 어디서부터 잘못된 건지 모르겠어.,절망감
그 강아지도 푸들이었거든.,일상
그거 슈퍼히어로 드라마 아닌가?,일상
커피도 진짜 괜찮은 곳 찾았어,일상
아무리 돈 많이 번다고 해도 그런 건 하면 안 되지,일상
진흙 속에 있는 것처럼 행동이 느려,초조함
그리고 어차피 집 오면 얼굴 봄,일상
일일이 다 짜증이 나서 일상이 힘들어,초조함
응 워크레프트 전쟁의 서막 이라고 영화 있어,일상
운동선수를 하든 뭘 하든 TV에 얼굴이 나오기만 하면 연예인 되는 것 같아.,일상
만사가 답답하고 낮 밤이 바뀐 것 같아요,우울감
한번 부작용을 겪은 사람들은 두려워하더라,일상
근데 제가 생각해도 제가 좀 한심해요.,자존감저하
아닌거 같던데? 있으면 그냥 발급되는거 같아,일상
아스트라제네카랑 얀센이 있어!,일상
정비소 가는것도 일이겠어,일상
지금 넷플릭스 같은 데에서 안 하려나 한번쯤 보기 좋아,일상
봄만 되면 몸무게가 늘어나는 것 같아,식욕증가
답답하고 우울감이 생기는데 약 때문인 것 같아..,우울감
근데 우리 집 조만간 팔릴 거란 건 앎,일상
명절 같은 때도 미리 안해도 돼?,일상
시어머니가 저 보고 고집이 세다고 자꾸 욕하면서 째려봐요,자존감저하
그 터널 잠기고!,일상
운전하고 가면서도 뭔가 사고 날 것 같은 느낌이 들 정도로 불안해.,초조함
안타깝다. 내가 그랬으면 기숙사를 들어갔을거 같아.,일상
내가 생각해도 내가 스스로한테 비난을 많이 하는 거 같아,죄책감
내가 놀고 있는 거에 대해서 죄책감을 느껴.,죄책감
쟤는 그런 재능이 있는데 난 재능도 없이 돈만 축 내고 있는 것 같고.,자존감저하
이제는 아예 안 나가.. 데이트도 안 하고.,무기력
아빠가 옆에 있는데 너무 당연해서 가끔은 잊는 거 같아 잘해드리자,일상
그러려고 공부한 게 아닌데 집에도 너무 미안하고,죄책감
맞아 잘 타는 사람 부러워 키키,일상
조그만 일에도 화가 잘 나요.,분노
마동석 나오는 거 이번 년도 11월에 개봉할껄?,일상
사라지는 코인도 있고 하니 위험성 때문에 함부로 하지를 못하겠어,일상
임신하고 외모가 변하니까 내가 너무 못나 보여.,자존감저하
추석 때 보니까 할머니 할아버지 많이 늙으셨더라,일상
아홉쌍둥이? 진짜 대단하다,일상
진급하고 싶어,일상
사람들한테 상처를 받으니까 나 자신이 점점 작아지는 것 같아,자존감저하
더블2엑스 버거는 빅맥맛이 아니었어...,일상
가뿐하지가 않으니까 걷는 것도 힘들어 죽겠어요,불면
잠을 너무 설쳐서 죽고만 싶어,불면
서운하다고 큰 소리를 얘기하고 싶어,슬픔
체력이 제일 걱정이야.,초조함
문제는 온몸에 힘이 쫙 빠지는 거야..,피로
아무도 나를 안 알아주는 거 같아.,외로움
갱년기인가 눈물이 자주 나고 있어.,슬픔
나는 겨울에 유자차랑 핫초코는 항상 쟁여 놔 키키,일상
나 보험 생명보험 하고 까먹었다,일상
대중가요를 국악으로 접목하니까 멋있어요,일상
아니 요즘은 햄버거 시켜서 주나 봐 키키,일상
조금밖에 못 자는 건 다 남편때문이야,불면
너무 우울해서 주저앉아서 그냥 울고 싶어졌어요.,우울감
평소에도 잠을 못자요.,불면
근데 처음에 왔을 때 너무 힘들었어.,무기력
자도 자도 너무 피곤하다,불면
옷 살 때 거래량 보고 사는 편이야?,일상
만두샀나,일상
오호 개임하면 현질하는편이야?,일상
살기 싫어서 미치겠네,자살충동
신랑 때문에 체중이 늘어났어요,식욕증가
키키 나랑 비슷하네 키키 운동 하면 좋다곤 하는데 키키,일상
날씨도 좋은데 집 앞 산책은 어때?,일상
점점 더 학교에 나가는게 힘들었어요.,무기력
친구들이 나를 비난하니까 내가 너무 가치 없는 인간같더라고,절망감
섬에는 마트도 제대로 없을걸?,일상
너무 괴롭고 힘들어.,무기력
아직도 훈련병인 줄 아나!,일상
체중이 는 이유를 모르겠어,식욕증가
고양이는 정말 귀엽지만 고집 불통이야,일상
맞아요 그래서 고민 중이에요.,일상
키키 풀빌라 너무 비싸서 못 가...,일상
단기 알바로 찾는데도 안 보여,일상
유독 많이 먹는 날은 힘들어서 그런 것 같아.,식욕증가
맨날 누워 있었더니 사는 것도 귀찮아,피로
너무 노선이 많아서 어지럽더라,일상
"저도 집에만 오면 좀 예민해지고, 화를 많이 냈어요.",초조함
키키 축구 이겼으려나 일단 한골은 넣은건 확실하니까,일상
그때 확진자 수에 오류가 있었다며 확진자 4512명을 새롭게 추가한 통계치를 발표했었지? 키키,일상
남편 장례식 이후로 숙면이 어려웠어요.,불면
패드라서 심판도 될 수가 없군.,일상
지금 바로 깐다!,일상
스크롤 하고 보는 건 좋은데 아직은 불편해,일상
4월 20일부터는 통증이 없어도 잠을 못잤어.,불면
그런것 같은데?,일상
얀센말고 오빠는 다른거 맞았음 좋겠어,일상
기분이 롤러코스터 같아,초조함
시댁과 사이가 어때?,일상
당연히 그러지 않을까?,일상
오늘 한번 집가는길에 들어봐야겠구만!,일상
먹을 수 있는 게 너무 없으니까 신경질 나,초조함
그런데 지금은 말짱합니다.,일상
신랑 태도가 변하니까 진짜 너무 허망해,슬픔
회사 다니느라 제대로 못 키우는 것도 미안하고,죄책감
그니깐 이렇게 급 겨울와서 당황,일상
멍한 느낌,우울감
기분도 계속 가라앉고 아무 것도 하기 싫고,무기력
오오 젤 맛있는 집 알려주세요,일상
그러게 아예 애초에 시작을 안해야겠다,일상
어제는 샤워를 하다가 펑펑 울었어요.,슬픔
생각이 많아지면 잠드는 게 너무 힘들고 배도 고파,우울감
나는 스나이퍼인 저격수를 많이 했어,일상
약 왕창 먹고 죽어버릴까봐,자살충동
나도 분대장이 요짜 쓰면서 유령 취급해서 마지막에 맥심이랑 음료수 사주고 나왔어,일상
아 키키 개취가 있구만 키키 둘을 키우면 이런 재미가 있구나,일상
요새 특히 더 소화가 어렵네요,식욕저하
불안하겠다... 다른 증상은 없어?,일상
내 인생이 정말 끔찍하다는 생각이 들더라고,절망감
단속도 많이 안 하니까,일상
앞에 차 따라서 움직이면 돼 키키,일상
아무것도 안 하는데 더 아무것도 하기 싫어.,무기력
문화생활에 돈 아끼지마.,일상
어떤 캐릭터가 좋아?,일상
내가 생각보다 집념이 없다는 생각에 힘들었어.,죄책감
이대로 가다간 정말 결혼을 못 하겠다 싶어서 막 초조해지고,초조함
그럼 이번 기회에 남친이랑 여행 다녀오는 게 어때?,일상
키키 그렇게 오랫동안 안 갔어?,일상
차만 타면 너무 조마조마해,초조함
오 식물?,일상
누워 있는다고 아무것도 못 해,피로
버찌한테 너무 미안하고,죄책감
에이 이번까지만 하자,일상
다들 맞곤 있는 거래?,일상
아니 몰랐어 키키,일상
예전엔 남들과 다른 것에 자부심이 있었는데 요즘은 아니야.,자신감저하
세상에 혼자 버려진 느낌이었거든요.,외로움
나는 정말 자신감이 없는 사람이야,자신감저하
"진짜 답답한 건, 나는 정말 우울하고 슬픈데도 눈물이 잘 안 나.",우울감
이유 없이 눈물이 왈칵 올라올 때도 있어요.,슬픔
살기 싫어서 확 죽어버리고 싶다,자살충동
잠이 들다가 깨기도 해.,불면
재밌는 얘기를 들어도 기분이 나아지지 않아,초조함
그냥 내가 없어졌으면 좋겠다는 생각...,자살충동
고독한 것 같아,외로움
요즘 쌍꺼풀정도는 시술이니까!,일상
사랑은 얼마 못가,일상
이 상황에서 북경 올림픽 가능할까,일상
뭐 탔어?,일상
근데 뭔가 억울하잖아요.,슬픔
바이든이거 트럼프고 키키 아무나! 이겨라!,일상
형 말 듣고 보니 그렇겠네 키키,일상
내 인생을 망치러 누가 찾아올것 같아,자존감저하
"응, 그때가 되면 또 개구리 울음 소리도 들리고 좀 더 활기차 지겠네",일상
안경 안끼잖아,일상
자궁경부 진단받고 진짜 너무 속상했어요,슬픔
여보 나 오늘 출장 후에 너무 배고파서 부페 갔다왔어.,일상
집에 오면 내내 잠만 자요.,피로
난 평생이 다이어트야,일상
제목이 만추 아니야?,일상
임신했다고 회사 사람들이 되게 냉랭하게 굴어,자존감저하
확 혀 깨물고 죽어버리고 싶다.,자살충동
병가 수리 안 되면 어쩌나 걱정을 많이 했는데 돼서 다행이었어요.,초조함
약속! ?,일상
그정도면 보일러 전원 켜줄까?,일상
와 키키 그럼 이제 아예 안 남?,일상
치아 보험은 들어놨어?,일상
응응 너는 어떤 방식으로 극복하니?,일상
방방곡곡 가서?,일상
요즘 결혼 자체에 회의감이 들어요.,슬픔
오 그렇다면 바로 장바구니 넣어 본다!,일상
갈라지는곳,일상
나 혼자 있는 게 지독하게 외로워.,외로움
아니기저귀누는데 그럼 떵꼬가 좀 잘벌어지잖앙,일상
술을 못 마시면 이렇게 우울해지는 구나,우울감
군생활 하면서는 1시간정도 뒤척이다 잠들었는데이젠 기본 34시간이예요.,불면
나를 이렇게 비참하게 만드는 남편이 너무 미워.,절망감
우와 진짜 무슨 영화같네요,일상
옷은 진짜 잘 안 사네 나는,일상
뭐 좋은 거 있음?,일상
보고 싶지 않다 키키,일상
자기 전이 제일 메슥거려,식욕저하
빈 말이라도 해주지 진짜 밥 먹는 내내 슬퍼서 울고 싶더라고.,슬픔
실용음악 학원 가면 노래 부르는 거 배우나?,일상
그러겠다. 나 강아지 키우고는 싶은데 산책시킬 자신도 없고 그래서 그냥 학원 보고있었어,일상
키키 예전 만화는 거의 흑백이지!,일상
밥맛을 모르겠어,식욕저하
차려주지 않으면 안 먹고 차려줘도 조금 먹어요.,식욕저하
세금 때문에 비싼 집으로는 갈 수 없어,일상
가을만 되면 우울해져요..,우울감
집에서 거의 잠만 자고 아무 것도 안 했어. 다 하기 싫어서.,피로
너무 의욕이 없으니까 아무것도 하기 싫어,우울감
그거 돼지들의 변명 아니냐?,일상
먼 말인지 하나도 모르겠네 키키,일상
근데 다른 데는 더 올랐다...?,일상
근데 햄스터 용품?,일상
산만한 정신이 정리가 안 돼요,슬픔
에 건강한 타투는 뭔 소리예여?,일상
나는 처음 들 때 거기가 저렴해서 했는데 그냥 쭉 이어서 하는 중,일상
신경을 많이 썼더니 몸이 너무 처져,피로
불면에 좋다고 해서 반신욕도 해보고 자려고 온갖 걸 다 해봤어.,불면
케익은 따로 안 불어?,일상
키키 어제 술드셨나,일상
불안하고 잠도 못자고.,불안
나도 알아봐야겠다,일상
여자친구도 있고 스위치도 있네! 부럽다.,일상
"깐달걀 피부 갖고있는 사람들은...도대체 물을 얼마나 마시눈거지,?",일상
저도 일주일에 한번만 가거든요,일상
진짜 많이 울어,슬픔
진짜 분통이 터지고 힘든 것 같아,슬픔
난 내일 시험이 마지막이라서 오늘 밤 새려고.,일상
겨울이라 추워서 더 뚜벅이 하기 싫다 키키,일상
그것때문에 그레픽카드 바꿨어,일상
그거 전에 에프터스쿨 하던거지!,일상
남편이 친정집까지 찾아오진 않을까 걱정돼.,초조함
괜찮아 오늘 주식 시장 처럼 무값도 떡락했을거라 오늘은 안보는 게 나을 수도,일상
나도 한때 했었지 키키,일상
나 요새 너무 무력감이 들어,상실감
뒤척거리는 것때문인지 하루종일 피곤해,불면
아니 키키 동생도 군대에 그런 거 파는지 몰랐을 텐데요 키키,일상
너한테 설명을 들으니까 꼭 공작새 깃털같이 느껴지네,일상
너무 토나와,식욕저하
그거 참 좋은 생각이야.,일상
남편은 별로 안 힘들어 보이니까 개 억울해,슬픔
라면을 안 먹으면 더 좋을 것 같은데?,일상
무슨 항아리에 문어 잡는다고...,일상
미래에 대한 막연한 걱정 때문에 울적해지는 거야,외로움
진짜 자주 안가네?,일상
키키 어 진짜 키키 그러면 난리 나는 거다 키키,일상
아니 장난하지말고. 너 그래서 언제 모태솔로 탈출할래?,일상
이혼하고 너무 슬퍼서 그때부터 술을 마셨어.,슬픔
서운한 일들만 생각나,슬픔
불안하고 초조할 때마다 애한테 화풀이를 하는 거 같아서 너무 미안해,감정조절이상
임신한 거 자체가 죄인인 거 같아,죄책감
긴장감이 심해서 배탈도 자주 나요,불안
이유는 모르겠는데 계속 잠은 안 오고 기분이 안 좋다,우울감
이유는 모르겠는데 꿀꿀하고 식욕이 없어,우울감
그런가 그럼 결혼 마지노선 나이는?,일상
저는 부산행도 좀비 때문에 못 봤네요,일상
아 정말? 우리 엄마도 경상도 키키,일상
뭐가 좋았어?,일상
근데 잠을 못자서 그런지 더 심해졌어.,불면
나는 버스 기다리는 중인데 20분째 버스가 오질 않네.,일상
5일 동안 5시간도 못 잔 거 같아요.,불면
헐 키키 아빠 몰랏어? 키키,일상
아 이 사람 안 됐다 싶다가도 또 화나고 증오스럽고 그래,분노
그리고 별 거 아닌 말에도 내가 되게 예민하게 굴고,초조함
뭔가 움직이려면 진짜 의지를 다지고 해야 하는 것 같아,무기력
하고 싶은 건 많은데 체력이 안 따라줘.,피로
확실히 개그맨은 달라 키키,일상
쏠 땐 쏘신다니까 사장님 최고야,일상
밥먹을 때 마다 너무 불안해.,불안
전세계를 지배하고싶노 돈으로,일상
자동차를 사서 뭐를 할려고,일상
그렇다고 하더라 키키,일상
차는 또 그나마... 그런데 월세는 진짜 아깝다...,일상
밤 내내 뒤척거리니까 삶이 다 우울해지는 것 같아,불면
아니 키키 난 한번도 해본 적 없어 키키,일상
뭐가 문젠데 갑자기,일상
누가 내 밥맛을 뚝 떨어트린 것 같아,식욕저하
"요즘 핫한 메타버스, SW 코딩, 빅데이터 개인 수준별 맞춤수업 해준대",일상
좋은 언니를 두었구나.,일상
응응 답이 없으니까 키키 맘 비우는 연습이라도 하려구,일상
애가 잘 크고 있는지 초조하고 숨이 찬 느낌도 들어,초조함
아마 미래에 대한 불안감 때문이었던 것 같아요.,초조함
어제 이사여서 좀 설쳤더니 피곤하고 몸이 무거워,피로
음 환승 제도가 아무래도 큰 역할을 하지 않을까... 하하,일상
내가 왜 데리고 와서 혼자 키운다고 했을까 후회될 때도 있어.,죄책감
나같아도 그럴 것 같아.,일상
아니...특기 사항 써야 하는데 이게 특기 이야기하는 건가...,일상
눈물 나올라 그래,일상
벌써 무서워... 밖에 나가면 얼굴 어는거 아니야? 키키,일상
제가 원래 애연가라서 담배를 한갑정도 태웠는데..속이 갑자기 메스꺼워지면서 머리가 핑 돌았어요.,식욕저하
요즘 입술 문신 하는 사람도 있나 봐?,일상
아무 이유없이 뚱뚱해졌어,식욕증가
이제 겨울인데 강아지 패딩 뭐 사 주지,일상
요새 특히 더 몽롱해졌어,불면
저를 도와줄 사람은 아무도 없는것 같아요.,외로움
자존감이 진짜 바닥인 것 같아.,자존감저하
흐음 그런가 주위는 거의 그렇게 하는 거 같음,일상
여행 마치고 집에 왔을 때도 또 그런 증상이 생길까봐 걱정이 됐어요.,초조함
그러니까 어제도 거기서 시간 너무 끌었어,일상
몸 상태가 너무 안 좋아서 자살하고 싶다,자살충동
다음에 울 고양이 동물병원 검진 같이 갈래?,일상
차라리 이상이 있어서 치료를 받을 수 있으면 좋은데 아니라니까 답답하고,초조함
응응 연필깎이는 특히 치우기 힘드니 조심하라고 해,일상
근데 비평준화다 보니까 다 공부 잘 하는 애들만 모인 거라 너무 힘들었어.,무기력
아무말없이 그냥 누워만 있고 싶어요.,피로
는 키 뭐임?,일상
"키키 아니면 유퀴즈, 요즘 그것도 잘못보네",일상
바다 장어는 이빨 있자나...,일상
"그래, 다 같이 놀러 가자.",일상
키키 다음주 야근을 위해...치얼쓰,일상
압박감이 심해서 일을 제대로 못 해요,불안
좋은 거 많이 먹어야 하는데 안 그러고 있어서 죄책감 들어,죄책감
"헐, 선생이 빠진다고했나?",일상
살기 싫은 이유는 다 남편때문이야,자살충동
이상한 일 생길 거 같고 불안한데요,불안
제가 애들한테 예민하게 구는거 같아요.,초조함
동생 담 달에 또 휴가 나와 키키,일상
나도 안주 킬러긴 한데 회식은 불편,일상
키키 굳 키키,일상
사람들 요새 홈트 많이 하더라,일상
애를 쓰면 쓸수록 모든 걸 다 망치는 거 같아서 아무것도 못 하겠어,죄책감
미리 대비 하는거야 키키,일상
이젠 지긋지긋해.,무기력
심즈도 폰게임 있지않아?,일상
따로 운동하지 않으셔도 되겠네요.,일상
유산하고 인생에 희망도 사라졌어,절망감
뱀이랑 원숭이?,일상
혼자 있으면 눈물이 더 나요,슬픔
시간을 돌리고 싶어요.,슬픔
그땐 그게 맞는것 같았는데지금 생각해보니 바보 같은 짓이었어.,죄책감
응응 키키 아직은 비밀이다 키키,일상
트위스트 키키 아 웃겨 곰은 사람을 찢어 아,일상
집에서 먹는 거랑 여행할 때 먹는 건 진짜 맛이 달라,일상
니 그래도 피부 관리 잘하네,일상
우리집도 키키 여기로 오면 모여서 잔치 했지 뭐...,일상
죽어버릴까 봐.,자살충동
몸도 힘든데 내 말 들어주는 사람 없으니까 너무 힘들어,슬픔
친구들이 빈정대는 느낌이 들어서 이제 잘 안 봐.,자존감저하
등산의 계절인디 딱,일상
저번에는 제발 그만 좀 말했으면 좋겠다고 하더니?,일상
니 이번에 안 넣니?,일상
키키 마자 똥 폭탄 맞았음,일상
그런 만큼 많은 잡음이 있네요,일상
나랑 20년을 함께 한 사람이 사라지니까 되게 공허하고,감정조절이상
감정 조절을 이상하게 해,슬픔
오매 는 벌써 먹었네 키키,일상
내 생각엔 살이 찐거랑 늦게 자면 피곤해서 자세가 불안정해서 그런것같아,일상
맞어 동물 병원 너무 비싸,일상
학교가는길에 면사무소 입구에 있는 철물점에서 하나 사서 가라,일상
치킨은 언제나 사랑이지,일상
여름 되니까 조금밖에 못 잤는데 금방 깨,불면
게임하면서 현질한 적 있어?,일상
양치질 잘한다고 칭찬받았었는데 지금 가면 혼날듯...,일상
집명의는 와이프 명의야,일상
라이방 선글라스 멋있잖아,일상
나는 언제나 꿈속에서 울게 돼..,슬픔
그래서 나도 적당히 합의하고 넘어 갈까 봐 걱정임,일상
도무지 어떻게 해야 할 지 모르겠다 너무 힘들어.,무기력
손가락 하나 까닥하기 싫더라고요.,무기력
더 짜증나는 건 누군가 나를 평가한다는 거예요.,초조함
사람이랑 만나기만 하면 감정기복이 더 심해지는 거 같아,초조함
내가 여기에서 암만 노력해도 저 사람들을 못 따라잡을 것 같거든.,절망감
맞어 . 조상이 있으니 내가 있는것 아니니?,일상
그래서 요즘 피부가 안좋은가...?,일상
엉 룸으로 요청했어 룸이 부담스럽게 크지않고 적당하더라구,일상
근데 주택은 벌레가 많지 않아?,일상
나 식욕이 너무 줄었다니까요,식욕저하
괜히 눈물만 나오고,슬픔
창원에 생긴다고 했어?,일상
기분 좋게 딱 채워주려고 했는데 너무 속상하네...,일상
아니 나는 1년에 한 번 갈까 말까야 키키,일상
그렇구나. 이제는 티비에 각종 게임기를 연결해서 다양하게 할 수 있다고 해.,일상
어제는 알바하는데 정말 너무 눈물이 나는 거예요.,슬픔
오빠가 일 때문에 바빠서 진짜 쓸쓸함 오지게 느껴,외로움
방2 화장실1 부엌 베란다 거실 다 있어,일상
집에만 들어가면 한숨부터 나오고 기분이 안좋아.,우울감
그 후부터 그러니까 2009년 그쯤부터 제 감정이 잘 조절이 안 되더라구요.,감정조절이상
벚꽃 웨딩도 이쁘겠다,일상
내일 화요일이당 !,일상
나도 둘 다 봤어!,일상
아직 잘 모르겠어 키키,일상
아 그럼 내려가서 받아?,일상
속앓이가 너무 심해,분노
