utterance,intent
친구들이랑 교류가 줄어든 거 같아서 답답해,초조함
엄마한테 괜히 화를 내게 되는것 같아.,분노
자꾸 우울하고 패배의식에 빠지는 것 같아,우울감
난 가 본 기억이 없어 키키,일상
신발 신으면 반려동물들이 싫어하지 않을까?,일상
연습하다 부서지더라도 연습해,일상
그 말에 엄청 상처 받았어요. 담임이 미웠어요. 죽이고 싶었어요.,분노
솔직히 좀 이상하다고 생각했어,일상
다들 잘 사는데 내 인생만 암담한것 같아요,절망감
우린 언제 저리 우주를 가 본담,일상
아무리 생각해도 군인은 편해,일상
나지금 다시보기하는데 존잼이네,일상
되는 일이 없으니까 자꾸 처지고 의욕이 안 생겨,우울감
그렇다고 다른 일을 해보자고 생각해도 특별히 하고 싶은 것도 없고 그래.,무기력
근데 잠을 하루에 두시간도 못 자.,불면
그럴것같다...,일상
나이키 매장 간 사람 신고하래... 하하하,일상
좋기도 했는데 굉장히 죄책감이 들었어요.,죄책감
체중이 계속 줄어드니까 오히려 더 먹게 되는 것 같아,식욕저하
자존심 없는 사람 없어,일상
혼자 자게 되면 몇 시간을 자도 피곤해 죽겠어요,불면
하긴 진짜 그런 것도 능력이지,일상
워킹맘인 내가 싫어,죄책감
헐 키키 그럼 생활관에서 뭐 하는 거야?,일상
운동도 하던 걸 못 하니까 더 우울한 거 같아,우울감
바닥에 떨어진 것도 다 주워 먹을 기세야,식욕증가
몽롱해 죽겠어요,불면
언제고 새벽 세 시만 되면 잠에서 깼어.,불면
오 막내가 정확하게 설명했어,일상
남편 때문에 너무 피곤해서 계속 누워있어,피로
걱정되네,초조함
처음부터 다시 업무를 배워야 하는 것도 짜증 나.,초조함
아 밖에 나가서 배드민턴 치기 좋은 날씨지 않냐,일상
"소화도 안되고, 가슴이 계속 떨리는 느낌?",식욕저하
속상했겠다.,일상
영국을 엄청 좋아하네 가서 영어부터 배우면 좋겠따,일상
음... 평수로는 잘 모르고 84제곱미터가 젤 커.,일상
거울은 자주 보세요? 하하,일상
여수 가면 그 케이블 타야지,일상
추우니까 전골 어떻냐?,일상
아이만 봐도 너무 우울하고 슬퍼지고,우울감
농구... 발야구...? 키키 아닌가 그건 발로 하는 건데 하하,일상
"응, 찾아 봤는데 기본 비용이 1300원이나 하더라",일상
기분이 너무 오락가락해서 내 스스로가 감당이 안 돼,초조함
카톡방에서도 혼자 어울리지 못하는 것 같아,외로움
근데 뭔가 미국음식 좀 느끼할 것 같아,일상
큰일은 아니라는 거지?,초조함
근데 진짜 심하더라 입이 괴사할 정도래,일상
진짜 동물을 너무 불쌍하게 이러면 안 되는 건데...,일상
세상에 혼자 남겨진 기분이라,외로움
일이 바쁘니까 섹스 할 생각도 안 나,불면
저 같은 건 별 것도 아닌 것 같고 다 재미없고,자존감저하
엄청 질타를 받고 있던데,일상
하도 기분이 오르락내리락해서 업무에 집중이 안 돼,초조함
진짜 성질이 개차반인 것처럼 성을 내,분노
식구가 많아서 9인승이 딱이지,일상
늘 압박감 받고 불안해서 입술을 다 뜯어놔,불안
사는 게 너무 버겁고 힘드니까 그냥 죽고 싶어.,자살충동
이제 부캐를 키워야해,일상
꼭 노래 잘 해야지만 할 수 있는 건 아니라더라고,일상
그렇게 고민하다 결국 낳았는데 솔직히 조금 후회 돼.,죄책감
내 실수 때문에 다 망칠 거 같아서 압박감이 심해,죄책감
불안해서 티비도 못 보겠어요,불안
불안하고 안절부절해,불안
와... 열받겠다 키키,일상
학교에서 선생님 말은 잘 듣는지..친구들이랑 사이는 좋은지밥을 잘 챙겨먹는지..온갖게 다 걱정이야.,초조함
내 주변 사람들이 다 이러니까 너무 자괴감 들어.,죄책감
어캐어캐 마음아프네 근데 또 우리 나라가 분단국가라 아예 안갈수는 또 없고 아이고 두야,일상
제가 할 수 있는 일이 없을 것 같고 그래요.,자신감저하
혼자 있으면 자꾸 쓸쓸해져서 운동 다녀요,외로움
처음엔 그냥 멀미하는 줄 알았어요.,식욕저하
키키 전셋집을 내가 직장 다닌다고 구할 수 있을까,일상
"계절마다면 괜찮구만,",일상
오늘 날씨는 되게 좋아서 기분 좋다,일상
환불안해준대?,일상
밥도 누가 떠먹여 줬으면 좋겠어,무기력
법으로나 제도적으로 개선해야 할 거 같아,일상
하지 말라고 소리쳐도 못 고치니까나를 괴롭히려고 저러나 싶고..,분노
그래서 저한테 되게 실망하게 되고 맨날 우울했어요.,우울감
글램핑은 실내에서 잘 수 있는 건가?,일상
"아, 진짜 계속 이러는 것도 짜증나고 정말 죽여버리고 싶다.",분노
다음엔 거기서 사야지 키키 레깅스 다시 사야 해,일상
혼전 임신이라 친구들이 빈정대는 것처럼 느껴졌어.,자존감저하
이제 받은 다이아로 쿠키 뽑아야지,일상
근데 이렇게 해도 안 고쳐질까봐 너무 걱정 돼,초조함
자다가도 계속 일어나니까 미치겠어,불면
모든 게 다 내 잘못 같아서 스트레스가 심해,죄책감
무리한 것도 아닌데 나른해,피로
그냥 많이 자는 거 같아,피로
고쳐야 한다는 건 알고 있지만.. 너무 이해를 못해주는 것 같아서요.,슬픔
아 최여진 뭔가 뻣뻣할 거 같은데 키키,일상
우울하고 모든 게 전부 귀찮아,우울감
"걔가 미안하다고 했는데도, 기분이 더러워서 홧김에 감기약을 80개 정도 한꺼번에 먹었어.",자살충동
맞아. 요즘 아파트들 정말 좋더라,일상
예방적 차원에서 반드시 필요한거 같아.,일상
나는 중학교 때부터 우울감이 심했어.,우울감
갑자기 왈칵 눈물이 나는 거야,슬픔
돈 없다고 무시 당하니까 내가 값어치 없는 인간처럼 느껴지더라고,절망감
꿈에 시달리다 보니 잠을 자도 계속 피곤한 느낌이예요.,피로
현기증이 막 온 적이 없으니까.,초조함
점점 무력감이 심해지고 있어,상실감
다른 생각을 하려고 해도 내가 하찮게 느껴지는 마음은 없어지지 않더라.,자존감저하
눈 떠있으면 자꾸 나쁜 생각만 드니까 잠을 너무 많이 자게 돼,우울감
우울하니까 무기력해.,우울감
남편이 나 때문에 실망이 큰 거 같아서 잘하려고 하는데 쉽지 않네,죄책감
너 취업하는 데 그게 필요해?,일상
우린 시어머니가 무서워,일상
기사 보고 깜짝 놀랐잖아 그 부분은 진짜 항공사에서 사과해야 한다,일상
체력이 제일 걱정이야.,초조함
아침부터 유독 기운 없기는 했어.,피로
잠도 못 자고 밥도 못 먹고숨도 안 쉬어져.,불면
긍정적인 마음을 가지고 싶어도 계속 울음이 새어 나오는 것 같아,슬픔
내 자신이 너무 딱하게 느껴져,슬픔
예 키키,일상
불안해서 걱정을 못 멈추겠어,불안
난 김수현이 오목조목하니 좋은 듯,일상
여름은 한국도 엄청 덥지,일상
요새는 다시 멍해요.,우울감
살기 싫은데 어떡하냐,자살충동
누워서 울렁거리는 느낌을 진정시키려고 하면 가위 눌린 것처럼 뭔가 굳은 느낌이 들어요.,식욕저하
요즘에는 사소한 일에도 그냥 벌컥 화가 나.,분노
진통이 올까봐 너무 초조해,초조함
평소에도 우울한데.,우울감
"정말이야, 회사에서도 매일 게임 하는 걸.",일상
다만 악에서 구하소서 말이지?,일상
주변이 어두워지면 걱정이 더 많아져,초조함
아이랑 이별하고 나 자신이 보잘것 없는 인간처럼 느껴졌어.,자존감저하
우리회사는 절대야근한다고 하면 두손들고 환영할꺼,일상
그 때 너무 무서워서 울었어요.,불안
그냥 이유없이 관계를 갖고 싶지 않아,불면
너 웹툰 호랑이형님 알아?,일상
화재의 원인도 나왔나요?,일상
오늘 죽어야 하나.,자살충동
계약직인데 국책과제 총괄 업무 하는 거야.,일상
나중에 카페 가서 커피 사와야겠다,일상
내가 죄인이라는 생각에 밤에 잠도 못 자,죄책감
잠을 못 자니까 하루종일 피곤하고,피로
일하느라 태교도 제대로 못 하는 거 같아서 죄책감이 생겨,죄책감
앞으로 내 생활만 생각하면 억울해,슬픔
흥이 안 나서 더 기운이 안 생겨요,무기력
마음을 추스르기가 힘들어,슬픔
오 그럼 최대 10년까지면 우리 첫째 초등학교 3학년까지는 여기서 살수있는거네 너무 잘된것같아 초등학교도 가까이 있지?,일상
그런 차박 말고 준비된 차박이요.,일상
"원래 이번 겨울 쯤에 유럽가려고 계획하고 있었는데, 장시간 비행인데 또 그럴까봐 지금 고민이에요.",초조함
전에는 시골에서 토끼를 닭처럼 마당에서 키웠었는데,일상
중고나라에 캠핑 용품 많이 올라와?,일상
잠 드는게 쉽지 않아.,불면
대화를 하면 할수록 그렇게 속이 터져,분노
전원 주택은 관리가 힘들다더라구,일상
"입맛도 없어서, 밥도 먹기 힘들어.",식욕저하
"생리 중이었는데, 감정이 막 요동치고, 막 화가 치밀어 올라서 진정이 안됐어요.",초조함
응 나 지금 전세 살고 있어 서울에서 키키,일상
우울해지니까 계속 아무것도 안 하고 싶어,우울감
요즘 전국적으로 다 비 오니까 울릉도도 왔겠지 키키,일상
왜왜 어떤? 막 학대하고 이런 거?,일상
독립이라... 아직은 너무 먼 이야기...,일상
내가 너무 나쁜 사람처럼 느껴져,죄책감
음식 맛이 종이 같아.,식욕저하
출근길에 너무 마음이 갑갑해,초조함
불안감 때문에 병원에 가기도 싫고요,불안
공무원에 키키,일상
너무 날카로워졌어,식욕저하
걸으면 땀나더라고 키키 더워서 키키,일상
한 접시 다 먹을 수도 있어! 키키,일상
맞아 키키 대단한 사람들이야,일상
인생이 왜 이렇게 비참해졌을까,절망감
"잠도 못 자고, 멍하니 있으니까",우울감
남자랑은 무슨 이야기를 해야 하지?,일상
너무 불안해서 일을 할 수가 없어.,불안
아예 받을 때부터 선택할 수 있는 거 같아,일상
가족들때문에 계속 널부러져 있게 돼,불면
하루종일 이리 치이고 저리 치이고 힘들어 죽겠는데.,무기력
애기 머리핀 사야되는데,일상
한동안 너무 슬퍼서 학교도 못 가고 그랬죠.,슬픔
기운이 하나도 없는데 집에 있기는 죽어도 싫었어.,피로
졸리고 계속 늘어지게 돼요.,피로
마음이 무겁고 너무 힘겨운 느낌이 들어,슬픔
맞아 업무를 받았을 때 해내야 하잖아,일상
먹고 사는것만 해도 힘들어 죽겠는데 꿈이 어디있겠어?,절망감
가끔씩 울적해지기도 하구요.,외로움
나는 초여름이나 늦여름이 좋더라,일상
집안 제사인데 가기 싫네.,일상
대학도 그냥 내 맘대로 가라는데 아 진짜 너무 우울해.,우울감
내가 늦게 임신하는 바람에 우리 애는 망했어,죄책감
다들 캠핑에서 불멍이 좋다던데 모르겠더라 뭘 말하는지,일상
이룬건 없는데 나이는 벌써 마흔이고.,감정조절이상
키키 재밌는 거 있으면 알려줄게 한번 봐보슈,일상
가격도 적당하고 자세한 건 메일로 보내 줄 테니깐 좀 봐줄래?,일상
멀리다니는거는 싫어하더라구,일상
일 신경 쓰기도 바쁜데 건강까지 문제라 걱정이다,초조함
박선영이라는 사람이 정말 선수처럼 잘하더라.,일상
혼란스러워서 집안일도 못 하겠어,초조함
아무것도 마음대로 결정할 수 없는 내 자신이 너무 하찮아.,자존감저하
살찔까 봐 걱정인 것도 있어요.,초조함
그거 아니면 답이 없을듯 ...,일상
시비거는게 아니고 팩트를 말하는거지,일상
점점 우울해져서 약국에서 처방 받은 수면제로 자살시도까지 했어.,자살충동
다음주가 제왕이라 너무 울적해,외로움
나는 언제나 꿈속에서 울게 돼..,슬픔
잘 울어요.,슬픔
약 오지게 먹고 다 끝내버리고 싶다,자살충동
속에서 화딱지가 나는 걸 어떻게 할 수가 없어요,분노
그러게 말이야. 이해가 안간다.,일상
시댁이고 남편이고 뭐고 다 죽여버리고 싶어요.,분노
너네집에 이미 두마리 키우지않아?,일상
업무 볼 때 맨날 실수해서 우울해지고 그래,우울감
관리실에 전화해서 해결봐야지 뭐,일상
이 분식집에서,일상
내가 울고 싶은 게 아닌데 갑자기 눈물이 나오고,슬픔
누구나 다 이렇게 사는 거겠지 하면서도 외롭다,외로움
여친이랑도 가고 너랑도 가면 좋쥐,일상
항상 패배감에 물들어 있어요.,자존감저하
키키 마자 이도 그 짓을 한다고? 세상에나,일상
애기 아빠 때문에 욱할 때가 많아,초조함
나는 집에서 많이 키키,일상
식욕 제로야,식욕저하
남들은 바쁘게 흘러가는 거 같은데 나만 너무 굼뜬 거 같아,초조함
"무기력하고, 의욕도 없어.",무기력
당장 다음 달 월세도 내야 하고 그런데 아무래도 돈 걱정이 제일 커.,초조함
쇼미더머니가 벌써 10까지 나왔네...?,일상
그러게 그렇게 멀리 있는데도,일상
그냥 내 자신이 보잘것 없이 느껴져요.,자존감저하
헐 키키 대박이네,일상
나 서든어택 장인이야,일상
그래서 부끄럽기도 하고 한심하고,자존감저하
항상 져주고 이해하는 건 나만 그런 것 같다는 생각이 들어,분노
"지난번에 파워블로거 신청한 거, 너거 블로그는 노출도 안되서 탈락한거야?",일상
임신 후에 충동구매가 너무 심해진 거 같아,죄책감
웅 나는 그래서 손도 안댐 키키,일상
밀키트는 어디서 구입하셨는가?,일상
키키 난 일주일에 하루 쉬는 알바라 그런가 ...,일상
안그래도 안팔리는데,일상
어떻게 됐는지 알려줘,일상
아무튼 요즘 이런 생각 때문에 잠도 잘 못 자고 너무 우울해요.,우울감
진정성 있는 곳으로 알아보라해야겠어,일상
맞아맞아 요새는 또 OST도 엄청 좋고.,일상
나 10만원줬어!,일상
아예 굶어 죽으려고 폐가에서 아무 것도 안 먹고 지내고,자살충동
나 이번에 언어 자격증 따려고,일상
구름 사이로 해비치는 것도 나름 멋지네,일상
내가 조심했어야 했는데,죄책감
그냥 계속 훌쩍거렸어요,슬픔
아니 근데 법 이름도 신기하다... 세종의사당법,일상
"팔, 다리에 아예 힘이 안 들어가서 아이들을 돌볼 수가 없어요.",피로
체력이 약해서 걱정이 되긴 해.,초조함
그러다 제가 너무 긴장을 한 거예요.,초조함
둘째도 아들이라고 시댁에서 차갑게 대해,자존감저하
아이 그럼 진짜 세상밖이 천국이야,일상
그래도 힘들겠지만 짧으니까 버텨야죠,일상
청소도 그렇고 빨래 기타 등등,일상
그랬는데 한두방울 오다 말았어요,일상
이유는 모르겠는데 마음이 자꾸 가라앉고 슬퍼져,슬픔
섹스한단 생각만 해도 스트레스 받아,불면
아무리 나를 예쁘게 보려고 해도 그게 잘 안돼.,자존감저하
롱패딩 진심 최악이네 키키,일상
그 생각 하나도 못 할 정도로 너무 우울했어요.,우울감
그래서 요즘 가디건을 챙기고 다녀,일상
그러게. 죄다 아파트 뿐이야,일상
1년이상 계속 잠을 못잤어.,불면
왜 매일매일이 불행한지 모르겠어.,우울감
살려는 마음이 안 들어,자살충동
그냥 안 들여놓으면 안 돼?,일상
부모의 심정이 그런거 아니겠어,일상
툭하면 화내고 울고 그래요.,초조함
명의는 내 사업이니까 나한테 문제 있을까 봐 걱정 많이 했어.,초조함
사소한 일 정하는 것도 너무 오래 걸린다,자신감저하
가족들은 전부 지방에 있으니까 너무 적적해지는 거야,외로움
가족들한테 미안한데저도 이런 제가 싫어요.,죄책감
두분 다 적는 것도 웃기고..남편도 확실히 얘기를 안 해줘서 정말 짜증이 나더라구요.,초조함
내 인생은 왜 이럴까 우울하고,우울감
항암치료도 다 끝나고는 힘이 없네요..,피로
약간 좀 비싸긴 하지.,일상
키키 그냥 가 운전하고 내가 보조석 타고 오빠는 뒤에 회장님처럼 앉아서 가자,일상
나도 그래서 남자친구가 집에 놀러오면 빨리 내쫓아 키키,일상
신나는 감정을 모르겠어요,무기력
저 아는 동생은 물고기 키우는데 물고기도 키우는 거 힘들더라구요,일상
남편이 자꾸 나를 한심하다고 몰아가니까 정말 나 자신이 가치 없이 느껴져,절망감
임신하고 나서 피로가 심해져서 자꾸 눕게 돼,피로
저는 스타 프래프트 가끔 합니다,일상
아니지 배드민턴을 실내에서 하면 되지!,일상
송해 할아버지 95세래 ... 덜덜,일상
네 백신패스라니 하하,일상
이유는 모르겠는데 꿀꿀하고 식욕이 없어,우울감
오늘 처리한 서류에는 오류가 없었을까 걱정되고.,초조함
배 타면 된다 해결,일상
주변 사람들이랑 너무 자주 다퉈,감정조절이상
다른 작가가 이어서 그리면 딴 작품인 거야,일상
나는 먹어도 먹어도 속이 허한 것 같은데.,식욕증가
20주차 되니까 그냥 눕고만 싶어,피로
가끔 보게 되면 또 그 잠깐 사이에 싸우고 그러니까 답답하죠.,초조함
대학교? 고등학교?,일상
키키 다녀오고 나니까 공익이 최고인 거 같아 키키,일상
택시 탈라면 맨날 카카오 호출하니까 기본요금도 모르겠다 키키,일상
돈 걱정이 너무 심해서 움직임도 둔해졌어,초조함
남편이 집안일을 하나도 안 도와주니까 눈물이 나는 거야,슬픔
오랜만이네 키키,일상
몸이 피곤하면 더 날이 서는 거 같아,초조함
요즘 BTS라는 가수가 정말 대단한 거 같아,일상
게임은 무료겠네요,일상
진단 결과 안 좋게 나올 것 같아서 우울해,우울감
저는 그냥 많이 먹어서 쪘어요,일상
잠도 잘 못자고 그랬었는데,불면
엽떡은 다 먹었나?,일상
낙태 경험이 있는걸 알고부터 남편이 자꾸 나를 감시하는 느낌이야,자존감저하
요즘에는 우울한 기분이 고착화가 된 거 같아.,우울감
사람들이 자꾸 비웃는 것 같아서 전부 죽여버리고 싶을 정도야.,자존감저하
"그리고 사진 찍고, 인터넷이랑...",일상
응 마져 여기 운전하기 어려워,일상
엄청 잘하는 팀이구나.,일상
인생이 무너져내리고 있다는 생각이 들었어,절망감
여하튼 느낌이 굉장히 다르단 말이지,일상
풀빌라 가 본 사람?,일상
응응 잘했어. 월세는 괜히 돈 버리는 느낌이라.,일상
매일 축 처져 있어서 내가 내가 아닌 거 같아요.,우울감
미녀는 괴로워!,일상
보상도 더 많이 주고 게임하기가 더 편하죠,일상
와 정말 알겠어,일상
위드 코로나 하고 확진자 쏟아지구먼,일상
직장 잃고 나서 그냥 다 체념하게 됐어,절망감
남편에게 맡긴 아이가 눈에 밟혀서 매일 죽고 싶은데.,자살충동
도와줄것도 아니면서 왜 그렇게 손가락질을 해대는지 모르겠어,자존감저하
조금만 더 열심히 버텨볼 걸....,죄책감
약 먹으면 안 우울하긴 한데 하루종일 몽롱하고 집중도 잘 안 돼.,우울감
직장 가서 일만 하면 더 혼란스러워,초조함
뇌가 굳은 거 같아요,집중력저하
나는 게임 자체를 잘 안해,일상
너무 죽고 싶은데 자살을 시도해 본적은 없어요.,자살충동
그래도 뭔가 나 혼자 학력도 딸리고 되게 뒤처지는 것 같아서 너무 우울해.,우울감
우울증 심해지면서 눈꺼풀은 무겁고 움직이기 싫어,우울감
손발톱이 길면 미용상 안좋고 위생에도 안좋아,일상
그렇게 먹었다가 다시 살이 찌면 어떡해.,초조함
우리가 주식하면 아마 돈이 다 사라질 거야,일상
허리가 아파서 움직이질 못하니까 살이 많이 쪘어요.,식욕증가
자기는 애 병간호를 안 해봤으니모르는 거죠. 답답합니다.,초조함
본격적으로 훈련 한다니 걱정이야,일상
사는게 뭐 이러냐..원수같은 인생살이..,절망감
잠을 잘 잘 때도 있지만 못 잘 때도 많아요.,불면
집 돌아와서도 며칠씩 굶고 방에 틀어박혀 있고 그랬어.,식욕저하
미친듯이 우울해요,우울감
이유 없이 계속 몽롱하네,불면
키키 헐 경치 진짜 좋겠다,일상
쿠팡에서 살건데 다른거 살거 있나,일상
내가 너무 싫고 미워서 아무 생각이 안 들어,죄책감
속도 울렁거리고 몸에 힘이 없어요.,식욕저하
집중이 어려우니까 하기도 싫어요,집중력저하
아직 수능도 치기 전인데 너무 추운거같아.,일상
혼자 이리뛰고 저리뛰는 것도 지쳤어.,무기력
나는 해군 갈래.,일상
내 스스로에게 실망이다,절망감
응 진짜 잘잔다 키키 부럽다 낮잠 잘자고 키키,일상
맞아 너 말처럼 나중에 카카오처럼 할 거 같아,일상
그러게 되게 자주 나오네?,일상
아 그래? 허허이 대기업이...,일상
음 너네 커플링은 했어?,일상
가끔 힘들기도 해.,무기력
꿀보직은 아니었어요.,일상
좋아하는 걸 해도 모든 게 지겹고 재미없어,우울감
아 맞다 백식패스... 요즘 그거 없으면 어디 못 감 키키,일상
허망하고 내 자신이 너무 원망스러워,슬픔
가족들도 나한테 손가락질을 하니까 내가 정말 쓰레기가 된 기분이야,자존감저하
남편이 내 마음 몰라줄 때마다 슬퍼서 미치겠어,슬픔
몸이 아파 죽을것 같은데 희망은 무슨.,절망감
"작년에 헤어졌는데, 아직도 그 빈자리가 너무 커.",감정조절이상
키키 네네 키키 잼쓰려나 키키 한국 영화는 일단 의심,일상
이번에 내과가서 초음파받아보니 저거래 꽤오래약먹어야함,일상
키키 집에서 좀 시켜주지,일상
약이 없으면 불안해서 항상 몸에 지니고 다녀.,초조함
남편이 자꾸 한눈을 파니까 나 자신이 너무 한심스럽게 느껴져,자존감저하
영화관 안 간지 너무 오래됐어,일상
멍하니 앉아서 고양이들 사진을 많이 봐요.,우울감
평소에 집중력이 엄청 떨어져서 책 열 쪽도 한 번에 못 읽어요.,집중력저하
지금도 괜찮은데 냅두면 안돼?,일상
완젼 대박쓰 샤넬,일상
나는 친구따라 한번 가봤는데 은근히 보람있더라.,일상
누우면 바로 잠이 들거든. 그런데 두시간 후면 깨.,불면
아냐 난 베뉴가 좋아!,일상
내가 실수해서 모든 걸 망칠까봐 매일 긴장해,죄책감
드론이 총 달고 왔을 듯?,일상
계속 늘어지게 되니까 아무 것도 할 수가 없네,불면
사실 뭐 기저귀 교환대만 있고 수유실만 있으면 될 듯,일상
와우... 그 남편 키 크더만,일상
쭈꾸미 먹자고 하면 제가 밥을 먹어도 더 먹을 수가 있는데 지금은 그것도 별로 안 땡겨요.,식욕저하
부모님이 이혼한 후의 삶은 절망적이었어.,절망감
음 일도 없는데 키키,일상
5억 말이가 ... 키키,일상
피곤하고 계속 잠만자고 싶어요.,피로
근데 내가 시키는 네네치킨집... 주말이랑 막 어플 행사할때 양이랑 평일 양이 달라서 좀...안시켜,일상
솔직히 안 가려고 했는데 또 안 가기도 뭐해서 다녀왔어 키키,일상
농사 많이 벌어 연봉 1억은 훌쩍 넘어,일상
자꾸만 먹고 싶은데 왜 이러는지 모르겠다,식욕증가
나 입술이 너무 건조해서 그러는데 혹시 추천해줄 립밤 있어?,일상
여태 어떻게 이렇게 살았을까 싶고 자괴감 쩔어,상실감
누나 꿈은 크게 가져야죠,일상
친구들이랑 연락하기 힘드니까 자꾸 적적해지는 중인 것 같아,외로움
모든 일이 잘 안 풀려서 계속 먹고 또 먹어,식욕증가
키키 부모님한테 더 자주 말하는데,일상
선물 받은 기억 없어,일상
아 아파트 사람끼리 했단말이야?,일상
원래는 안했었어?,일상
"항에스트로겐을 먹은지 한 달 됐는데, 갑자기 오전에 기분이 완전 가라앉고, 만사가 다 귀찮은 거야.",우울감
아 그분... 음 좀 안쓰럽긴 했어,일상
솔직히 저 같이 별로인 사람을 누가 뽑고 싶겠어요.,자존감저하
외롭고 하루하루가 무의미한 것 같아,외로움
날 왜 이렇게 아픈애로 낳았는지 엄마가 원망스러워요.,분노
마음이 이렇게 허전하고 쓸쓸할 수도 있는 걸까,슬픔
다들 무슨 장르 영화 좋아해?,일상
나는 갯차에 나오는 선호씨... 듬직 댕댕이,일상
보이스피싱 원조 김미영 팀장이 잡혔잖아.,일상
첫 임신이 허망하게 끝날 것 같아,분노
아무리 자도 피로가 안 풀리네요,불면
미친거 아니냐 그래도 안골던 사람이 골아봤자 별로 안 커,일상
키키 경찰 폭행 까지 했다던데,일상
이 정도면 원작 파괴야,일상
와 진짜 키키 무슨 이런 사람이 키키 있냐고,일상
부모님도 나를 미워하는것 같아서 본가에 가기 싫어,자존감저하
나는 다시 알바를 시작하기로 했어 다음 주부터,일상
