utterance,intent
응 애들이 안아파야지 우리야 뭐 그렇다치고,일상
큰 이상은 없다는 말을 듣고 나니 힘이 쭉 빠져,피로
식사 양이 줄어서 눈물 나,식욕저하
애를 쓰면 쓸수록 왜 더 상황이 안 좋아지는 걸까?,죄책감
맞아 오래 길게 하는 드라마가 거의 없지,일상
진짜 너무 눈물나고 억울하고 그런데 애 상대로 뭘 하나 싶더라.,슬픔
비교해서 편한 편이지 즐기고 편하게 보낸 건 아니지.,일상
남편이 모임에 가면 입 열지 말라고 째려보고 눈치를 주니까 자존감이 자꾸 떨어져,자존감저하
나도 온갖 주사 다 맞았거든 키키 근데 이건 보장 안돼 있잖아,일상
그래? 키키 근육통 온 거 아니야?!,일상
그러게 궁금하기는 하다.,일상
키키 일이나 학업적인 부분에 있어서 만족스러워서 이제 연애를 해도 되겠다 싶었구나?,일상
바빠서 그런지 살이 빠지는 것 같아,식욕저하
배우들 참 대단해,일상
근데 누굴 탓하겠어요,일상
그거는 남편 회사에 오는날 남편이랑 먹으려고 소중히 아껴둠,일상
너네 물에서 하는 운동 좋아해?,일상
애기임,일상
그냥 사료 다시 바꿔야겠어 키키.,일상
애랑 같이 있을 때면 내 신경은 온통 아이한테 가서 되게 예민해지거든.,초조함
이제 애 엄마가 될 생각하니까 막 우울하고 무력해지는 것 같아,우울감
살 수 있는 종목이 한정되어 있더라,일상
밤마다 벼랑 끝에 서는 느낌입니다,불안
나 요새 다이어트 실패한 것 같아서 속상해,일상
맨날 바쁘면 회사 못 다니지,일상
임신성 당뇨라는 얘기를 들으니까 너무 안절부절못하겠어,초조함
"그래서 도로에 뛰어들까, 옥상에서 뛰어내릴까 한참 고민하고",자살충동
맞아 그 사람도 서늘한 느낌이 있어,일상
그래요. 며느리가 그 역할을 할 수 있을까요?,일상
친정갈때 하나 가져가고 가까운 지인분들 좀 드릴려고,일상
맞아 힘들어 체력이 예전 같지 않아,일상
대낮에도 강도가 든다고 그래서 너무 걱정이 되는 거예요.,초조함
속은 내가 멍청했어,죄책감
잠자리 설치는 것도 다 회사 때문이야,불면
사는 게 쉬운 게 아니네 증말,일상
그게 제일 좋아. 괜히 이것저것 챙기면 부담도 너무 크고.,일상
그런데 사고 후부터 무기력해졌어.,무기력
오빠가 저한테 그랬어요. 엄청 착하거든요. 그래서 더 짜증났어요.,초조함
그때는 유서를 쓰고 아파트 옥상에 올라가기도 했어.,자살충동
얼굴이 완전 반쪽 됐어,식욕저하
신랑이랑 의견차이가 생길 때 그렇게 외롭고 왜 사나.. 싶었어,외로움
"고민이 많아지니까 불안하고, 초조하더라구요.",초조함
집이 답답해서 잠도 조금 자고 깨요,불면
일찍 오는 거 싫다마.,일상
꿈꾸면서 헛소리만 하는 것 같아,불면
3년 안에 결혼한다.,일상
계속 못 자서 정신을 못 차리겠어,불면
직장 잘리고 집에 있으니까 내가 너무 쓸모 없는 인간처럼 느껴졌어,절망감
어제 늦게 잤더니 몸이 처져,피로
남편때문에 속이 다 울렁거린다,식욕저하
호텔뷔페는 저려미로 해결,일상
잠이 한숨도 안 온다,불면
키키 돌 키우는 거 개 멋 있노,일상
응응 하하 우리 꼭 같이 가자,일상
나도 키키 가습기 없으면 겨울 나기 힘들어,일상
한국화를 배우는데 소질이 없어서 더 우울하고.,우울감
잠 못 잔 지 한 사흘 된 것 같아요.,불면
위드 코로나 돼서 이제 키키,일상
너희처럼 알콜달콩하게 살고 싶어,일상
님 댄싱9에 관심을!,일상
몸이 왜 이렇게 심하게 처지지?,피로
나는 아팠던 적이 없어...,일상
강원도 평소에 잘 못가니까,일상
"지구가 내일 망해버렸으면 좋겠어인가, 알아? 시트콤인데",일상
입원해 본 적도 없어,일상
배터리가 고장 난 것처럼 피로가 안 풀리고 몸이 무거워,피로
플라스틱 배우는데 좀 힘들지 않을까,일상
잡는 거 봄?,일상
화장품 성분 어디서 확인하지?,일상
근데 요즘 들어서는 그런 생각만으로 우울감이 안 사라져.,우울감
그러게 말야. 내가 보기엔 똑같았는데 말야!,일상
아이다... 주님은 무슨 체념한 거지...,일상
어제도 네 시간 겨우 잤나. 근데 계속 자다 깨다 반복해서 너무 피곤해.,피로
집안일만 하려고 하면 힘이 빠져,피로
내가 너무 못생겼다는 생각이 드니까 사람들 눈을 못 마주치겠어.,자존감저하
신랑때문에 자다가 뒤척거려요,불면
다른 사람들보다 위가 더 큰가봐,일상
요즘 이해가 잘 안 되는 거 같아요,집중력저하
그러니까. 근데 우리 오빠는 아직도 그걸 해.,일상
그때는 서러웠어요 아프기도 한데 혼나기까지 하니까,일상
왜 맛이 없어?,일상
나도 갑자기 저렇게 아플까봐 걱정이 되더라.,초조함
핫티스트...?,일상
트라이브 오브 유로파 알아?,일상
남들보다 뒤처지는 느낌이 들고 너무 우울해. 집에 누워만 있게 돼.,우울감
키키 보톡스 잘하는 데 가서 맞아야 대,일상
하나님이 날 버리신 걸까?,절망감
앞으로만 생각하면 다 걱정이고 계속 남과 비교하면서 나도 모르게 술 마셨어,우울감
뭘 해도 안 될 것 같고 하려고 했던 마음이 사라지는 것 같아,우울감
패배감에 시달리고 있어,우울감
요즘에는 어디 잘 나가지도 않거든요.,무기력
누리 얼굴이랑 누리호 합성도 하고 했던데,일상
입맛이 하나도 없어.,식욕저하
키키 으그드러워,일상
수술이 제대로 되지 않은 것 같은 불안함이 있어요.,초조함
내 말이 너무너무 느려서 나도 짜증이 나,초조함
키키 어떻게 달라졌는데?,일상
야 왜그래... 주는건 안받을 순 없잖아...,일상
기분도 많이 우울해요.,우울감
"약을 안 먹으면 못 자고 밤을 꼴딱 새우고, 먹어도 아침 10시까지 눈을 못 떠.",불면
쉬고 있을 때 몸무게가 줄어,식욕저하
예전에는 안 이랬는데 왜 이렇게 많이 떠는지 모르겠어,초조함
난 야매로 했어 키키,일상
나도 자기랑 도자기 빚어보고 싶어,일상
하기 싫은 건 계속 하기 싫고 그냥 죽고 싶어요.,자살충동
당근에서 완전 꿀템 득템했네,일상
미안한 일만 계속 생기는 거 같아,죄책감
난 영화시작은 참 좋은데 이거끝이,일상
아기가 자꾸 안 생기니까 좌절감이 커지더라고,절망감
제대로 휴식을 취해야 하는데 점점 더 예민해져서.,초조함
되는 일이 없으니까 자꾸 처지고 의욕이 안 생겨,우울감
인생이 어디서부터 잘못된 건지 모르겠어.,절망감
나 간호대요 키키,일상
학교에서 봤으면 대략 난감이었겠다.,일상
그냥 한식이 다 비슷하지 않나,일상
난 참치랑 에그마요 먹을랭,일상
진흙 속에 있는 것처럼 행동이 느려,초조함
뇌가 계신가요?,일상
일일이 다 짜증이 나서 일상이 힘들어,초조함
오징어 게임이 인기 있다는 이유로 산 거였는데 지금은 가족 부양을 어떻게 해야 할지 막막하대,일상
"그러니까 말이야, 적어도 실내 말고 외부에서 피우셨으면 해",일상
만사가 답답하고 낮 밤이 바뀐 것 같아요,우울감
요즘엔 부모가 부모답지 않은 것 같아요,일상
근데 제가 생각해도 제가 좀 한심해요.,자존감저하
우리나라의 우주 산업이 더 발전했으면 좋겠어.,일상
와 가족들 상심이 크겠다,일상
또 요즘은 IPTV에 동시개봉도 하니까,일상
재미있는 거 뭐 있노,일상
봄만 되면 몸무게가 늘어나는 것 같아,식욕증가
답답하고 우울감이 생기는데 약 때문인 것 같아..,우울감
우리는 할머니가 오라고 하셔서 다 온거임 키키,일상
정치는 다들 왜하고싶어하는지...,일상
시어머니가 저 보고 고집이 세다고 자꾸 욕하면서 째려봐요,자존감저하
카투사에 들어가려면 영어가 중요하지,일상
운전하고 가면서도 뭔가 사고 날 것 같은 느낌이 들 정도로 불안해.,초조함
어떤 사업인가요?,일상
내가 생각해도 내가 스스로한테 비난을 많이 하는 거 같아,죄책감
내가 놀고 있는 거에 대해서 죄책감을 느껴.,죄책감
쟤는 그런 재능이 있는데 난 재능도 없이 돈만 축 내고 있는 것 같고.,자존감저하
이제는 아예 안 나가.. 데이트도 안 하고.,무기력
엄마한테 넘넘 감사해 하하,일상
그러려고 공부한 게 아닌데 집에도 너무 미안하고,죄책감
정말 반려동물 버리고 학대하는 사람들은 골로 보내야됨,일상
조그만 일에도 화가 잘 나요.,분노
겨울에는 종강 하고 방학 하니까 하하,일상
하면 노란고무줄 꽉 졸라매서 눈이 쫙 올라간 것만 생각나.,일상
임신하고 외모가 변하니까 내가 너무 못나 보여.,자존감저하
키키 악 나도 학원을 잘 안 갔어 나는,일상
근데 진짜 상상이상으로 귀엽다,일상
아 퀵보드가 많이 무겁나보네,일상
사람들한테 상처를 받으니까 나 자신이 점점 작아지는 것 같아,자존감저하
응 괜찮은 친구 있다고 소개했어,일상
가뿐하지가 않으니까 걷는 것도 힘들어 죽겠어요,불면
잠을 너무 설쳐서 죽고만 싶어,불면
서운하다고 큰 소리를 얘기하고 싶어,슬픔
체력이 제일 걱정이야.,초조함
문제는 온몸에 힘이 쫙 빠지는 거야..,피로
아무도 나를 안 알아주는 거 같아.,외로움
갱년기인가 눈물이 자주 나고 있어.,슬픔
그러니까 키키 거기 산책하기 진자 조은데,일상
아주냠냠이지,일상
그래 팀장님이 대충 해놨다고는 하시더라구,일상
네네 엄마 아빠랑 살고 있을걸요? 아마 키키,일상
조금밖에 못 자는 건 다 남편때문이야,불면
너무 우울해서 주저앉아서 그냥 울고 싶어졌어요.,우울감
평소에도 잠을 못자요.,불면
근데 처음에 왔을 때 너무 힘들었어.,무기력
자도 자도 너무 피곤하다,불면
그렇겠지? 너도 생일에 뭐 받고 싶은지 생각해 놔 키키,일상
그래도 다 구했으니 이뤄낸 보람이 있네,일상
애초에 겨울부터 시작된 코로나니 키키 그냥 사람들과 고립되는 삶을 살게 되는 것이다...,일상
살기 싫어서 미치겠네,자살충동
신랑 때문에 체중이 늘어났어요,식욕증가
거의 예전 같음 아빠 될 나이지,일상
애교 많고 반겨주고 아주 좋아,일상
점점 더 학교에 나가는게 힘들었어요.,무기력
친구들이 나를 비난하니까 내가 너무 가치 없는 인간같더라고,절망감
주술사로 키웠어,일상
너무 괴롭고 힘들어.,무기력
야 그래도 확실히 하는 게 좋지 키키,일상
체중이 는 이유를 모르겠어,식욕증가
나중에 한번 도전해봐 키키,일상
맞아 네 형부 맨날 옷 터쳐와,일상
난 한번도 안타봤어,일상
우리도 제사나 명절 아니면 못 모임,일상
유독 많이 먹는 날은 힘들어서 그런 것 같아.,식욕증가
맨날 누워 있었더니 사는 것도 귀찮아,피로
진짜 쪽팔려서 못다닐듯,일상
"저도 집에만 오면 좀 예민해지고, 화를 많이 냈어요.",초조함
요새 보드게임 왜 이렇게 비싸니.,일상
편지가 있다는 것도 몰랐네.,일상
남편 장례식 이후로 숙면이 어려웠어요.,불면
그래서 전 부장님이랑 같이 다녀요,일상
한 마리 키우고 싶어서 지금 고민임,일상
계약 끝나면 다른 집 구하게?,일상
4월 20일부터는 통증이 없어도 잠을 못잤어.,불면
로티세리 맛있는데,일상
헐 그래서 관람객이 다쳤어?,일상
기분이 롤러코스터 같아,초조함
메추리는 쌀알을 먹이로 줘요.,일상
어머니는 꼭 따로 살아야겠다고 하셔?,일상
예전에 우리 윷놀이 정말 많이 했잖아,일상
먹을 수 있는 게 너무 없으니까 신경질 나,초조함
그때에 비하면 새 발의 피죠.,일상
신랑 태도가 변하니까 진짜 너무 허망해,슬픔
회사 다니느라 제대로 못 키우는 것도 미안하고,죄책감
나는 공부 한 만큼만 나왔던 거 같아 키키,일상
멍한 느낌,우울감
기분도 계속 가라앉고 아무 것도 하기 싫고,무기력
거기 재화가 실제로 값어치가 있다고 생각해서 투자하는 사람들 많더라고,일상
우리 강아지는 멀미 안 해.,일상
어제는 샤워를 하다가 펑펑 울었어요.,슬픔
생각이 많아지면 잠드는 게 너무 힘들고 배도 고파,우울감
아이가 직업 군인이 된다하면 어떨거 같아요?,일상
약 왕창 먹고 죽어버릴까봐,자살충동
시원하면서 재밌는 그 느낌?,일상
그건 또 뭐야 빙글빙글 돌아가는 거? 키키,일상
요새 특히 더 소화가 어렵네요,식욕저하
벌써 두잔먹엇다,일상
내 인생이 정말 끔찍하다는 생각이 들더라고,절망감
아무래도 다들 기피하는거 같아요,일상
가을 노래 좋지 키키 진짜,일상
아무것도 안 하는데 더 아무것도 하기 싫어.,무기력
오늘은 회사 앞에 동태탕 집 메뉴로 주문하기로 했어요.,일상
집에서 제품사서 해,일상
내가 생각보다 집념이 없다는 생각에 힘들었어.,죄책감
이대로 가다간 정말 결혼을 못 하겠다 싶어서 막 초조해지고,초조함
아직 바깥을 못 나가봄,일상
너는 바나나보트 타본 적 있어?,일상
차만 타면 너무 조마조마해,초조함
진짜 전기장판 없이 못 살아,일상
누워 있는다고 아무것도 못 해,피로
버찌한테 너무 미안하고,죄책감
그럼 여분으로 하나만 더 사 줘,일상
행정법 겉핥기 해서 키키,일상
응응 알고 보니까 케이티가 전부 다 먹통이었다고 하더라고,일상
예전엔 남들과 다른 것에 자부심이 있었는데 요즘은 아니야.,자신감저하
세상에 혼자 버려진 느낌이었거든요.,외로움
나는 정말 자신감이 없는 사람이야,자신감저하
"진짜 답답한 건, 나는 정말 우울하고 슬픈데도 눈물이 잘 안 나.",우울감
이유 없이 눈물이 왈칵 올라올 때도 있어요.,슬픔
살기 싫어서 확 죽어버리고 싶다,자살충동
잠이 들다가 깨기도 해.,불면
재밌는 얘기를 들어도 기분이 나아지지 않아,초조함
그냥 내가 없어졌으면 좋겠다는 생각...,자살충동
고독한 것 같아,외로움
이번에 공동 구매 하려고 하는데.,일상
오락실 게임도 직접 하는 것보단 구경하는 것이 나는 더 재미있더라.,일상
"음 우리 출근시간에는 버스 안막혀, 8시 출근이잖아",일상
뮤지컬 예매하려는데 열기가 대단해,일상
근데 뭔가 억울하잖아요.,슬픔
이동네 된다 안된다,일상
아닌가...? 여덟시였나?,일상
내 인생을 망치러 누가 찾아올것 같아,자존감저하
"그 쪽이 결혼을 하든 말든, 난 전혀 관심 없습니다.",일상
저도 가끔 가는데 누워서 볼 수도 있고 좋아요,일상
자궁경부 진단받고 진짜 너무 속상했어요,슬픔
전 안해봤어요. 서울에서는 안한거 같은데 하하,일상
집에 오면 내내 잠만 자요.,피로
토이스토리 명작이지,일상
다음 주 주말에 가보는거 어때?,일상
임신했다고 회사 사람들이 되게 냉랭하게 굴어,자존감저하
확 혀 깨물고 죽어버리고 싶다.,자살충동
병가 수리 안 되면 어쩌나 걱정을 많이 했는데 돼서 다행이었어요.,초조함
내 거 잘 챙기는 게 좋겟어,일상
너네들도 출퇴근 교통수단을 바꿔보는 것도 좋을 거 같아,일상
반려동물 버리지 마...,일상
키키 웅웅 이제 거의 기억이 안나,일상
맞아 자기가 만들어준 치즈빵도 넘 맛있었어,일상
온라인도 3장 만 원 없지?,일상
요즘 결혼 자체에 회의감이 들어요.,슬픔
나도 항상 자소서 쓰고 말할 땐 쌩뚱 맞게 자소서 말고 다른 얘기하고,일상
법적으로도 미리 예고 없이 자르거나 그만둘 수 있는 기간이니까 어쩔 수 없지 뭐,일상
나 혼자 있는 게 지독하게 외로워.,외로움
세금을 다 떼어내고 따로 팔아서 그래,일상
술을 못 마시면 이렇게 우울해지는 구나,우울감
군생활 하면서는 1시간정도 뒤척이다 잠들었는데이젠 기본 34시간이예요.,불면
나를 이렇게 비참하게 만드는 남편이 너무 미워.,절망감
선크림 바르면 하얘지지.,일상
키키 글쎄 키키 여튼 안 먹네,일상
키키 오 대단한 집념이네 키키,일상
엉 방파제? 위에 난간도 있어서 안 위험행 키키,일상
자기 전이 제일 메슥거려,식욕저하
빈 말이라도 해주지 진짜 밥 먹는 내내 슬퍼서 울고 싶더라고.,슬픔
키키 진짜 어릴 때부터 애기 잘 키워야 하는데,일상
안걸리게 챙겨 입고 가.,일상
키키 아니 그니까 근데 그 아내의 맛 있자나,일상
밥맛을 모르겠어,식욕저하
차려주지 않으면 안 먹고 차려줘도 조금 먹어요.,식욕저하
응응 사장님두,일상
가을만 되면 우울해져요..,우울감
집에서 거의 잠만 자고 아무 것도 안 했어. 다 하기 싫어서.,피로
너무 의욕이 없으니까 아무것도 하기 싫어,우울감
맨날 남편 자랑 하믄서 키키,일상
근데 그런 거 진짜 많을 인터넷 쇼핑몰에,일상
응 맞아 애견 동반 가능한 곳들이 있어 키키,일상
어느영화에 나왔더라,일상
산만한 정신이 정리가 안 돼요,슬픔
하하 가격도 괜찮고 명 수 좀 많으면 에어비앤비도 괜찮다 하하 펜션보단,일상
언니는 화장하는 단계가 어떻게 돼?,일상
신경을 많이 썼더니 몸이 너무 처져,피로
불면에 좋다고 해서 반신욕도 해보고 자려고 온갖 걸 다 해봤어.,불면
손목 자주 쓰는 업종인가 봐요,일상
학원이 별거여?,일상
불안하고 잠도 못자고.,불안
4대 4경기 키키,일상
대학교요,일상
편하긴 한데 너무 비싸더라고.,일상
지하철 타세여,일상
진짜 많이 울어,슬픔
진짜 분통이 터지고 힘든 것 같아,슬픔
맞아 이번엔 너가 져드려,일상
이제 백신 다 맞으면 자가격리 없애준다던데,일상
연기도 다들 잘해서 괜찮을 거야,일상
그렇군요. 다이어트도 자기에게 맞는 다이어트를 해야 해요.,일상
남편이 친정집까지 찾아오진 않을까 걱정돼.,초조함
구피 또 알낳았으려나,일상
여러번 비행기 타봤지만 그 때 그 비행기 만큼 거칠게 운전하는 뱅기는 처음이었다,일상
나 요새 너무 무력감이 들어,상실감
뒤척거리는 것때문인지 하루종일 피곤해,불면
그건 그럴 수도 있어,일상
근데 막 어떤 사람이 그 가방 툭툭치면서 자기 보라고 하길래 어이없었어,일상
너무 토나와,식욕저하
키키 양념 다음날 먹으면 맛있을수도,일상
남편은 별로 안 힘들어 보이니까 개 억울해,슬픔
나이가 들수록 보험료는 오르지,일상
아 대마도 나 가보고 싶었는데,일상
미래에 대한 막연한 걱정 때문에 울적해지는 거야,외로움
도 뭐라 함 키키,일상
그런데 또 키우면 생길 수도?,일상
아프간에서 폭탄 테러로 최소 15명 사망했대.,일상
이혼하고 너무 슬퍼서 그때부터 술을 마셨어.,슬픔
서운한 일들만 생각나,슬픔
불안하고 초조할 때마다 애한테 화풀이를 하는 거 같아서 너무 미안해,감정조절이상
임신한 거 자체가 죄인인 거 같아,죄책감
긴장감이 심해서 배탈도 자주 나요,불안
이유는 모르겠는데 계속 잠은 안 오고 기분이 안 좋다,우울감
이유는 모르겠는데 꿀꿀하고 식욕이 없어,우울감
오 완젼 좋다 ! 우리동네도 그런 이벤트 했으면 좋겠다,일상
니도 운동하자,일상
키키 상견례 가보니까 어떻디? 키키,일상
이번주 주말에 시간 되면 나랑 같이 차박하러 갈래?,일상
근데 잠을 못자서 그런지 더 심해졌어.,불면
맞아 키키 그런 매력이 더 좋지,일상
5일 동안 5시간도 못 잔 거 같아요.,불면
키키 난 뒤처진다 키키,일상
아 이 사람 안 됐다 싶다가도 또 화나고 증오스럽고 그래,분노
그리고 별 거 아닌 말에도 내가 되게 예민하게 굴고,초조함
뭔가 움직이려면 진짜 의지를 다지고 해야 하는 것 같아,무기력
하고 싶은 건 많은데 체력이 안 따라줘.,피로
우리나이때는 보험료가 그렇게 비싸지 않으니까 드는게 좋지,일상
전 안하고 후회 할래요,일상
밥먹을 때 마다 너무 불안해.,불안
북한이 또 쐈어?,일상
나 족구 축구 야구 이런 거 몸으로 하는 거 잘하는데...,일상
그땐 내가 어려서 막 군대 내에 구경하고 그럴 수 있을 줄 알았지 뭐야 키키,일상
눈치 싸움... 승리했네 키키,일상
밤 내내 뒤척거리니까 삶이 다 우울해지는 것 같아,불면
소개시켜줘!,일상
둘 다 가능한 사람은 진짜 에너자이저 키키 나한텐 신급이야 키키,일상
누가 내 밥맛을 뚝 떨어트린 것 같아,식욕저하
아 우리는 바둑판도 없네요,일상
커피하면 맥심밖에 안떠올라,일상
아직 5개월인데... 하하 아가야 키키,일상
애가 잘 크고 있는지 초조하고 숨이 찬 느낌도 들어,초조함
아마 미래에 대한 불안감 때문이었던 것 같아요.,초조함
어제 이사여서 좀 설쳤더니 피곤하고 몸이 무거워,피로
그림체도 약간 달라지는 것 같아,일상
내가 왜 데리고 와서 혼자 키운다고 했을까 후회될 때도 있어.,죄책감
비행기타고 여행가면 면제점은 필수지,일상
아이도 같이 빠진거네?,일상
오늘 점심은 뭐 나와?,일상
그게 은근히 시급이 세지?,일상
제가 원래 애연가라서 담배를 한갑정도 태웠는데..속이 갑자기 메스꺼워지면서 머리가 핑 돌았어요.,식욕저하
헐 진주에 있다던데?,일상
아무 이유없이 뚱뚱해졌어,식욕증가
낙태가 나쁜 걸까요?,일상
요새 특히 더 몽롱해졌어,불면
저를 도와줄 사람은 아무도 없는것 같아요.,외로움
자존감이 진짜 바닥인 것 같아.,자존감저하
새벽에 산책 하고 그러는 거야? 하하,일상
여행 마치고 집에 왔을 때도 또 그런 증상이 생길까봐 걱정이 됐어요.,초조함
가발은 안된데,일상
몸 상태가 너무 안 좋아서 자살하고 싶다,자살충동
얼굴이 다가 아니야!,일상
차라리 이상이 있어서 치료를 받을 수 있으면 좋은데 아니라니까 답답하고,초조함
연애란 참 어려워,일상
근데 비평준화다 보니까 다 공부 잘 하는 애들만 모인 거라 너무 힘들었어.,무기력
아무말없이 그냥 누워만 있고 싶어요.,피로
나는 차 타고 15분 안으로 도착해 !,일상
그래도 룰이 정해져 있으니까 싸울 일은 없겠어,일상
가격이 좀 쎄다니... 그건 좀 별로네 키키,일상
코로나 없어져도 마스크 껴야지,일상
롯데리아있는거 왜 안 알려주셨는가... 치즈스틱맛있는데,일상
압박감이 심해서 일을 제대로 못 해요,불안
좋은 거 많이 먹어야 하는데 안 그러고 있어서 죄책감 들어,죄책감
맞다 오늘 아침엔 엄청 바쁘셨쥬 키키,일상
살기 싫은 이유는 다 남편때문이야,자살충동
이상한 일 생길 거 같고 불안한데요,불안
제가 애들한테 예민하게 구는거 같아요.,초조함
근데 전 개인적으로 거래량이 많을수록 리뷰도 종 잡을 수가 없어요,일상
월급 인상이야?,일상
요즘 또 거북목 아닌 사람 없다잖아,일상
진짜 나는 그냥 가서 힐링하고싶다,일상
애를 쓰면 쓸수록 모든 걸 다 망치는 거 같아서 아무것도 못 하겠어,죄책감
맞아 만화책도 있고 애니도 있을걸?,일상
이젠 지긋지긋해.,무기력
평소 시간에는 고터에서 자리 좀 나는데,일상
넌 친한 친구 축의금 얼마 내?,일상
유산하고 인생에 희망도 사라졌어,절망감
지금 사기엔 조금 아쉬운데?,일상
혼자 있으면 눈물이 더 나요,슬픔
시간을 돌리고 싶어요.,슬픔
그땐 그게 맞는것 같았는데지금 생각해보니 바보 같은 짓이었어.,죄책감
그러니까 반찬이 다양하지,일상
키키 맞아 도로도 엄청 조용해,일상
김종민 대상 받을 만했네 키키 장수의 아이콘이네 키키,일상
하고 앉아서 하나 먹고잇는데,일상
진짜 대형마트 가야 할 이유가 점점 사라지네 키키,일상
죽어버릴까 봐.,자살충동
몸도 힘든데 내 말 들어주는 사람 없으니까 너무 힘들어,슬픔
친구들이 빈정대는 느낌이 들어서 이제 잘 안 봐.,자존감저하
마자 엄청 많이 배워왔었잖아!,일상
그래 출퇴근 도로가 어떤지 중요하지,일상
너가 분해 하는 거야?,일상
50프로면 진짜 거저잖아,일상
아니 건조한 날씨에다가 강풍이 불은 것이 원인이래,일상
나랑 20년을 함께 한 사람이 사라지니까 되게 공허하고,감정조절이상
감정 조절을 이상하게 해,슬픔
작년에도 10월에 갔거든!,일상
부디 빨리 잠들길...남편 예민해져서 안 자면 엄청짜증내,일상
이제 완전 가을이야,일상
너무 무섭다 귀신 어떻게 생겼어?,일상
아랍가시게요? 키키,일상
여름 되니까 조금밖에 못 잤는데 금방 깨,불면
우린 그거 옆에서 치맥,일상
난 한번에 쓸거야.,일상
응 그거 하고 나면 온몸이 아파서 키키,일상
작은 마을 이야긴데 너도 꼭 봐,일상
나는 언제나 꿈속에서 울게 돼..,슬픔
오 머리를 많이 기르는 편이야?,일상
도무지 어떻게 해야 할 지 모르겠다 너무 힘들어.,무기력
손가락 하나 까닥하기 싫더라고요.,무기력
더 짜증나는 건 누군가 나를 평가한다는 거예요.,초조함
사람이랑 만나기만 하면 감정기복이 더 심해지는 거 같아,초조함
내가 여기에서 암만 노력해도 저 사람들을 못 따라잡을 것 같거든.,절망감
"큰애는 자기일 잘하는데, 둘째는 거의 백수 수준이라 늘 걱정.",일상
오빠 티라미수 라떼 먹어봤어?,일상
300mm면 많은 양은 아니긴 한데...,일상
혹시 넌 OST 잘 아는 노래 있어?,일상
나 식욕이 너무 줄었다니까요,식욕저하
괜히 눈물만 나오고,슬픔
응 좋아! 강원도 여행 기대 된당,일상
일반 스키보다 좀 짧게 나온거야,일상
다 너의 돈이다 결국엔 하하,일상
오 즙내봤어?,일상
어제는 알바하는데 정말 너무 눈물이 나는 거예요.,슬픔
오빠가 일 때문에 바빠서 진짜 쓸쓸함 오지게 느껴,외로움
유등 축제 갔다가 마무리는 동방 나이트였는데,일상
집에만 들어가면 한숨부터 나오고 기분이 안좋아.,우울감
그 후부터 그러니까 2009년 그쯤부터 제 감정이 잘 조절이 안 되더라구요.,감정조절이상
오래됐다,일상
키키 동생 옷 찢으면 어머니 아버지한테 혼나는 거 아니야? 키키,일상
근데 뭐 대처 훈련 이런 건 비슷해서 아는 것도 있긴 해,일상
아 진짜 우리 애기 얼마나 이쁜디,일상
무신사 거기 어때 나도 말로만 들어서 키키,일상
속앓이가 너무 심해,분노
