utterance,intent
보드 타러 가야지,일상
술먹고 필름 끊겼어,일상
키키 니한테는 필요 없지 키키,일상
답답하니까 애를 계속 때리게 되고 화가 주체가 안 돼요.,감정조절이상
내가 너무 게으르다. 하면서 죄책감이 들어요.,죄책감
사는게 허무해요.,감정조절이상
시어머니가 원망스러워,분노
처음에 친구 어떻게 사귀지,일상
울적한데 어떡하지,외로움
면허 따는 중,일상
내 감정 조절하기가 힘들어,감정조절이상
저를 도와줄 사람은 아무도 없는것 같아요.,외로움
택배 왔나,일상
내가 원하는 사람이 되기 어려워,일상
개 우울하고 밤에는 안 자고 오후에만 자니까 점심약속 못 자고 집에만 있어,우울감
진짜 너무 빡치잖아요.,분노
내가 생각해도 내가 스스로한테 비난을 많이 하는 거 같아,죄책감
이런 걱정을 멈출 수가 없어서 요즘 엄청 신경이 곤두서 있어요.,초조함
너무 예민해져서 스트레스를 계속 받았어.,초조함
어후 키키 거긴... 완전 전쟁터야 키키,일상
아무것도 하기가 싫어,일상
이렇게 오래 만날 줄 몰랐는데,일상
시어머니가 너무 짜증나게 굴어요.,분노
회사 잘리고 내 인생이 가치 없이 느껴졌어요,절망감
너무 지쳐서 인생 끝내버리고 싶어,자살충동
이렇게 살이 찐 게 아닐까.,식욕증가
양보를 안 해주니까 서운하더라,슬픔
사람들 속에 있으면 혼자 맨날 겉돌아서 힘들어,외로움
워킹맘 진짜 힘들다,일상
일만 하다 보니까 일어나도 정신을 못 차리겠어요,불면
자는 게 너무 힘들어,불면
운동도 꾸준히 하는 게 힘들어,무기력
근데 그 날따라 화가 엄청 나더라구요.,분노
회사분위기가 퇴사할 거라고 생각하는 것 같아서 겉돌게 되는 것 같아,외로움
재취업에 대해서 안 좋은 생각만 들고 불안이 너무 심해,불안
몸무게가 너무 불어서 무거워 죽겠어,식욕증가
할말 다 하고 사는 게 나빠?,일상
주변에 너무 예민하게 반응하게 되고 공격 당하는 느낌을 받아,초조함
가족 여행 가기로 했어,일상
얘기 들으니까 간만에 타고 싶네,일상
동생이 힘들어하는 모습을 보는게 너무 고통스러워.,죄책감
근데 내가 진짜 화날 만 했단 말이야.,분노
이사할때 뭘 먼저 고려해야해?,일상
좋은 환경에 있어도 잘될까 말까 하는데 이런 환경에서 사람답게 살 수 있을까?,초조함
기침도 못하겠어,일상
어떻게 해도 모든 결론이 내가 잘못했다고 이어져,죄책감
아마 수능 때문이었던 것 같아요. 하루종일 불안해서 아무 것도 못 했거든요.,초조함
첫 임신이 허망하게 끝날 것 같아,분노
수면제를 먹으면 새벽에 잠이 들긴 했어요.,불면
울적해 울고 싶어,일상
하루에 12시간은 자는 거 같아.,피로
출산일 다가올수록 마음도 초조하고 몸이 무거워,초조함
"약을 먹으니까 잠은 자는데, 중간에 자주 깨.",불면
살 찔까 봐 걱정돼서 잠도 잘 안 오고,초조함
튀김기 사고 싶다,일상
그냥 모든 게 다 너무 절망적이야,절망감
나 이제 더 이상 버틸 수가 없다.,무기력
할줄 아는 게 없어,일상
삼겹살에 소주 먹고 싶어,일상
새삼 그렇게 서운할 수가 없을 거야,슬픔
근데 이렇게 살이 찌니까 요즘 너무 우울한 거야.,우울감
힘이 없어서 게을러진 거 같아,피로
사람이 많고 번잡스러운 곳만 가면 이러니까 너무 힘들어요.,무기력
회의 망했어,일상
월요일도 아닌데 길이 너무 막혀,일상
꿈은 많은데,일상
돈없는 서러움이란,슬픔
하루 종일 죄책감에 시달려,죄책감
"아 뭔지 알아, 흰 장갑 끼고 인사하는 거.",일상
멘탈이 약해서 그런가 작은 일에도 슬퍼지는 것 같아,슬픔
4시간 이상 잠을 못 자.,불면
조각잠만 자게 돼서 일상 생활하기가 힘들어,불면
엄마가 선 보라고 하시는데,일상
깊은 잠을 자고 싶어요.,불면
무지 덥다,일상
아무 생각도 안 들고 평소와 달리 아무 것도 하기 싫고,무기력
남편이 회식이라고 안와,일상
꽃놀이 가고 싶어,일상
양키캔들 선물받았어,일상
호르몬 때문인지 이상한 감정 사이클이 생긴 것 같아,슬픔
문제는 요즘에 활동도 너무 힘들고 미래에 대한 걱정이 많아서,초조함
몸에 힘도 쭉 빠져서 주저앉았구요.,피로
창업해도 될까?,일상
최근에는 압박감 때문에 쉬지를 못했어,불안
그게 나나 가족이라고 생각해봐,일상
식사고 뭐고 진짜 아무 것도 하기 싫은 게 심해,식욕저하
오로라 보러 여행 가고 싶다,일상
밤에 자려고 하면 기분이 오르락 내리락 해,초조함
스스로 이상할 정도로 모든 게 내 잘못 같아,죄책감
애 걱정하느라 자도 자도 전혀 안 개운해,불면
마음을 자꾸 다치니까 나도 모르게 움츠러 들어.,자존감저하
집 밖에 나가기 싫어,일상
맨정신일 때는 저를 주체할 수 가 없었거든요.,감정조절이상
"잠이 약간 올 때쯤 아, 이제 잠이 드나? 지금 좀 졸린가? 이런 생각이 들어요.",불면
무력감이 심하게 느껴져요,상실감
왜냐하면 지난 번에는 방에서 그냥 혼자 책 읽다가 죽고 싶단 생각을 했어요.,자살충동
친구들한테는 유부녀 된 내가 배신자겠지,죄책감
요즘 하루종일 살기 싫단 생각만 해,자살충동
냉장고에 먹을 게 하나도 없네,일상
내가 살아온 게 모두 가치가 없는 거 같아,상실감
자신감 안 생긴다,자신감저하
떨어뜨려서 핸드폰 액정 나갔어,일상
알바라도 쉬는 날에는 잠을 몰아서 자는 편이야,피로
뭐 입지?,일상
힘딸려 죽겠다,불면
다너때문임 경상계열,일상
마음 잡고 다시 시작,일상
폭식을 심하게 해버렸어,식욕증가
칭찬 좀 해줬으면,일상
운동해도 살이 안 빠져,일상
남편이 가고 나면 외로움이 터져,외로움
나는 다음 손님이 들어올 때까지 울기만 했어.,슬픔
이 기회는 내꺼야,일상
초기인데 벌써 낮 밤이 바뀌어서 개 힘들어,우울감
비오면 마중 나와 주는 사람 있어서 좋다,일상
불임일까봐 걱정이 많았어요.,초조함
낯선 타지의 생활도 정말 힘들었어요.,무기력
자기는 애 병간호를 안 해봤으니모르는 거죠. 답답합니다.,초조함
이런 생각까지 하고 저는 정말 쓰레기 같아요.,자존감저하
늘 기분이 가라앉아 있어.,우울감
내 잘못인 거 같은데 어떻게 털어놓지,일상
내가 요즘 행동을 너무 우유부단하게 하는 거 같아,자신감저하
몸이 안 좋은데 챙겨주는 사람 없으면 진짜 서럽고 눈물 난다,슬픔
걸레질도 해야 돼,일상
머리가 멈췄어,집중력저하
진짜 너무 화나서 어제 엄청 소리지르고 싸웠어요.,분노
이제는 베란다만 보면 내가 뛰어내리는 게 상상이 돼.,자살충동
임신한 게 벌 받는 것 같아,죄책감
근데 요즘엔 깊게 잠을 못 자.,불면
집 밖에는 나오지도 않았어.,무기력
마치 시한폭탄이 된 것처럼 분노에 쌓이는 것 같아,분노
또 멀쩡히 잘 있다가도 갑자기 눈물이 나더라.,슬픔
불안하고 초조한 게 계속 돼서 미치겠어,불안
아주 잊기로 독하게 마음 먹고 신나게 놀고 있습니다,일상
내가 뭘 잘못했다고 다들 이렇게 나를 못 잡아먹어서 안달일까,자존감저하
이런 제가 너무 싫어서 막 어쩔 때는 그냥 눈물이 나요.,슬픔
내가 내 식탐을 조절할 수가 없어,식욕증가
제주도 바닷가 가고 싶어,일상
힘도 없고 피곤하고 인생이 지루해진 느낌이야.,피로
인터넷에 사람 많은 게 힘들어서 시내에 잘 나가지 않는다고 글을 썼는데 댓글에 내향적이라서 그렇다는 글만 잔뜩 달렸어요.,무기력
그래서 한 달에 3kg 씩은 빠진 것 같아.,식욕저하
점점 심장이 쪼그라들면서 식은땀이 흘렀어요.,불안
잠을 안 잘 때는 1시간? 밤을 새울 때도 많아요.,불면
내 삶이 모욕적이야,절망감
그런 거 좀 안 했으면 좋겠어,일상
졸리고 계속 늘어지게 돼요.,피로
하루의 반은 누워서 보내는 거 같아,피로
근데 요즘은 아이 때문에 너무 힘들다는 생각이 들어.,무기력
내가 좀 더 악착같이 버텼으면 상황이 이렇게 나빠지진 않았을 거야,죄책감
조금밖에 못 자니까 자꾸 신경질을 내게 돼,불면
근데 알바하러 나갈 때 추리닝 입은 내 모습이 초라하게 느껴질 때가 있어,자신감저하
난 자기 생각에 원래가 떡볶이였어,일상
10년 다닌 회사 관두려니 왠지 배신하는 기분이야,죄책감
컴터가 안돼,일상
진작 회사 관둘걸 허탈하네,죄책감
너무 많이 자서 외출을 못 해,피로
너무 심하게 억울해,죄책감
맘이 너무 답답해요.,초조함
이제 그냥 모든 게 다 지치고 슬프다,슬픔
무리를 좀 했더니 눈꺼풀이 감기네,피로
이유도 없는데 수면을 취할 수가 없어,불면
뉴스는 역시 지루해,일상
내가 갑자기 해코지 당하는 일이 생기면 어떡해,자존감저하
늘 쫓기는 느낌이 들어,초조함
사람들 많은 곳에서 약도 안 챙겼는데 호흡곤란이 오면 어쩌지..,초조함
나도 그런 거 아닌가 걱정돼.,초조함
회사에서는 바로 복직을 바라니까 그 뒤로 좀 서먹해졌어,외로움
약을 열심히 먹고 있거든? 그래도 잠이 잘 안 와.,불면
집안일만 생각하면 우울하고 무기력해지는 것 같아,우울감
누구랑 같이 자면 잠을 자도 목이 뻑적지근해 죽겠어,불면
나도 내가 갑자기 이상해진 것만 같아.,우울감
시어머니 만나면 너무 떨려,초조함
심각하게 우울하고 무기력해,우울감
초조하고 숨 가쁜 증상 때문에 손톱을 물어뜯어,초조함
그냥 아프지만 않았으면 좋겠는데자꾸 비실거리게 되니까넘 스트레스야.,피로
작은 일인데도 과민반응해,식욕저하
가서 우울감이 너무 심하다고 얘기했거든.,우울감
소외감이 느껴져.,외로움
하루에 한 끼 먹으면 많이 먹는 거일 정도로 입맛 없어서 그냥 틈만 나면 굶었어.,식욕저하
그 교수님을 우연히 보게 되면 몸에 힘이 쭉 빠지는 것 같기도 해.,피로
이걸 어떻게 해결해야 하나 싶어서 불안해지고,불안
34년 전까지는 너무 우울해서 가출도 여러 번 했어.,우울감
폰 케이스 사줄까?,일상
평소보다 쉽게 화가 나.,분노
잠을 못 자니까 더 우울해지는 것 같아,우울감
마음을 먹어봐도 긴장이 풀리지 않는 거 같아,불안
머리 어떻게 할까?,일상
오빠가 속으로 나를 창피해한다고 생각했어.,자존감저하
조마조마해서 대중교통을 못 타고 있어,초조함
매일매일 벼랑 끝에 서 있는 느낌인데요,불안
이제 인턴 그만두고 싶어,일상
둘째도 아들이라고 시댁에서 차갑게 대해,자존감저하
지금 그 때로 돌아가면 절대 그렇게 안 할 것 같아요. 진짜 너무 후회돼요.,죄책감
아기 가진 뒤로 힘이 너무 빠지네,피로
별일 안 했는데 나른하네,피로
친구한테 썸 중인거 이야기 해야하나,일상
그래서 집에 아이랑 계속 같이 있게 되는데 그냥 다 귀찮아요.,무기력
엄마도 말을 못됐게 하니까 엄마 집에도 안 가게 돼,자존감저하
내 감정을 내가 컨트롤 할 수 없으니까 너무 힘들다,감정조절이상
잠들기 전에 서운한 일들이 너무 많이 생각나요,슬픔
싱크대 리폼할거야,일상
조마조마해서 밤에 잠이 안 올 정도야,초조함
애기때문에 잠도 겨우 나눠서 자,불면
왜 힘든 일은 나한테만 일어나는건지,자존감저하
나한테 할 말 있대 뭘까?,일상
너 그림그리는거 좋아하지않았어?,일상
오빠 때문에 불면이 시작된 것 같아,우울감
어떻게 하면 이 불안감이 사라질까요?,불안
그래도 주어진 환경에서 내 나름대로 열심히 살았다 자부했는데 허탈해요.,감정조절이상
배 아프다,일상
걱정스러워서 잠도 잘 못 자겠고 먹을 기운도 없어.,초조함
조금만 신경 쓰이는 업무가 생기면 피곤하고.,피로
사는 게 이렇게 힘든데.,무기력
뭔가를 먹기도 싫고 그냥 잠만 자,식욕저하
그렇게 말하니까 좀 걱정되네,초조함
나는 그냥 풍경을 보는 것을 좋아해,일상
긴장하는 내가 바보 같아,불안
밥 청소 다 하기 싫고 그냥 친정 가고 싶어,무기력
엄마한테 또 화냈어,일상
시간 좀 지나고 나서는 미안한 감정이 제일 컸던 것 같아요.,죄책감
술 마신 상태에서 옥상까지 올라가서 자살을 하려고,자살충동
몸이 안 좋으니까 좌절감이 깊어지는 느낌이야,절망감
나 뭐하는 거지,일상
위로가 되는 사람이 아무도 없다.,외로움
주변 사람들은 다 편한데 나는 압박을 받아,불안
맘처럼 쉽지 않아요.,무기력
너무 걱정돼서 팔다리가 저리고 자꾸 불안해지네요.,초조함
기분이 좋았다 나빴다 반복해.,초조함
너무 울고 싶고 심장이 바닥으로 추락하는 것만 같아요.,슬픔
잠을 못 자고 우울해서 돌아버릴 것 같아,우울감
취미 생활도 딱히 없어서인지 초조하기만 하고 의욕이 없어,초조함
피부 너무 달라지니까 속이 안 상할 수가 없어,슬픔
배가 고플 때 더 욱하는 거 같아,초조함
저도 그런것 같네요,일상
살 너무 빠져서 찌워보려고 해도 잘 안 돼,식욕저하
나는 중학교 때부터 우울감이 심했어.,우울감
먹고 자고 놀고만 싶어,일상
가끔 제 감정이 너무 조절이 안 돼서 진짜 괴로워요.,감정조절이상
용돈 인상해 달라고 말할까,일상
과민반응하게 되니까 내가 더 고통스러워,식욕저하
그냥 막연한 거 같아요. 솔직히 어디 취직할지도 모르겠고 성적도 그저 그렇고.,절망감
"생리 중이었는데, 감정이 막 요동치고, 막 화가 치밀어 올라서 진정이 안됐어요.",초조함
"마음도 힘든데, 몸도 아파요.",무기력
내가 그렇게 충동적으로 하면 안됐는데,죄책감
가족 있어?,일상
요즘 내가 가치가 없는 사람처럼 느껴져.,절망감
그냥 옥상에서 뛰어내리고 싶을 정도야.,자살충동
멍하니 앉아있게 돼요.,우울감
코트 살까 말까,일상
신랑 말투가 바뀐 뒤부터 울적해요,외로움
몸무게가 줄어서 힘든 것 같아요,식욕저하
축의금 고민,일상
그래서 휴학하고 그 후로 집 밖에 거의 안 나왔어.,무기력
너무 무기력해져서 걱정이 많아,무기력
잠을 계속 못 자서 밤이 너무 무서워,불면
다른 거엔 다 흥미가 사라지고 진짜 뭐하면서 보내야 하는지 모르겠어,무기력
왜 이렇게 의욕이 없을까,우울감
대화가 안 통해서 자존감 회복이 안 된다,우울감
짜증나서 집 나왔어,일상
전 애인 너무 보고 싶을 때 많지.,슬픔
계속 입맛도 없고 손발도 붓고 피로해.,식욕저하
나 때문에 아기가 안 자라고 있는 것 같아서 자꾸 죄책감이 들어,슬픔
계속 먹기만 하니까 자괴감 들어서 울어,식욕증가
절약해야 잘 살지,일상
난방비 비싼데 추워,일상
그 사실을 알자마자 눈이 뒤집혀가지고 무작정 남편이 있다는 곳에 찾아갔지.,분노
집안일도 하기 싫고 뭐든지 억울하다는 생각만 드는 것 같아,슬픔
엄마도 없이 애한테 못 할 짓 한다고 생각하니까 속상하더라고요.,슬픔
출근길이 유난히 기네,일상
마음이 우울해.,우울감
부드러운 이불에서 나가기 싫어,일상
4월 20일부터는 통증이 없어도 잠을 못잤어.,불면
잠을 계속 못 자고 있어요.,불면
일본어 어렵네,일상
시가 때문에 스트레스 받아서 잠이 올 생각을 안 해,불면
이 이야기를 하고 나서 좀 후회했어요.,죄책감
한번 화가 나면 이성을 잡고 있는 게 힘들어요,분노
자괴감 들더라,죄책감
하루 종일 조마조마해서 미치겠어,초조함
괜히 내 과거 반성하게 되고.,죄책감
울적하네,외로움
죄책감이 심해서 눈물이 날 때도 있어,죄책감
벌써 허기진다,일상
출산 전에도 신랑이랑 자주 다퉜지만 요새는 특히 자주 다투니까 이런 상황에서 벗어나고 싶어,무기력
욱하면 욕부터 하는 거 같아,초조함
매일매일 비참한 내 자신이 싫어,슬픔
내 인생의 모든 게 허무하기만 해,상실감
안타까워서 죽을 것 같아,슬픔
긴장을 많이 할 때는 나 혼자 세상에 버려진 거 같아,초조함
내가 너무 가치 없는 인간처럼 느껴져서 절망적이야,절망감
하늘을 날고 싶어,일상
음 나는 한 네다섯개 되는 듯?,일상
그래서 힘들고 왜사나 하는 생각이 들더라구.,절망감
바로 결정을 못 해요,자신감저하
나 보는 사람들마다 살이 왜 이렇게 빠졌냐고 다들 놀라.,식욕저하
노래 잘하는 사람 부러워,일상
조별 발표 하기 싫어,일상
남편때문에 잠을 설치게 돼,불면
내가 가난해서 사람들이 업신여기는 것 같아.,자존감저하
자꾸 비참해지기만 하는 것 같아서 눈물이 나오는 거야,슬픔
누가 옆에 있으면 속이 너무 안 좋아요,식욕저하
다 때려 치우고 싶어,일상
남편조차 내 마음을 아프게 하니까 내가 정말 아무것도 아닌 인간이 된것 같아,자존감저하
임신하고 외모가 변하니까 내가 너무 못나 보여.,자존감저하
전화 안 받아,일상
아빠가 그립진 않지만 이 상황이 날 너무 힘들게 해.,무기력
낮에는 늘 긴장 상태야,불안
집에 있을 때 오히려 더 폭식해,식욕증가
유산하고 내가 너무 한심스럽더라,자존감저하
그 때 진짜 화났는데 어른이라 화도 못 냈거든요.,분노
나만 고생하는 것 같고 이런 내 고생을 몰라주는 것 같아,분노
입덧 때문에 고생하는 내가 안타깝고 아기에게 미안해,슬픔
"이제 더 이상 나올 눈물도 없을 거 같은데, 수도꼭지라도 튼 것처럼 눈물이 나.",슬픔
그렇게 자주 넘어지다 보니까 너무 불안해졌어요.,초조함
세상 뜨고 싶다,자살충동
너무 고통스럽고 인생이 무겁게 느껴져요,절망감
앞머리 다시 길러볼까,일상
"그냥 계속 확인하게 되고, 다른일에는 집중을 못하게 돼.",집중력저하
하품 나와,일상
감정기복이 심해져서 다른 사람들과 교류가 잘 안 되는 것 같아,초조함
"정신과에서 치료를 받는 게 흠도 아닌데, 너무 속상해.",슬픔
"다 저를 생각해서 그런건데, 너무 미안했어요.",죄책감
울면서 그냥 끝내자고 하는데마음이 찢어질것 같았어.,슬픔
나만 없으면 내 주변 사람들 모두 행복했을 텐데,죄책감
일찍 잠을 못자기도 하고 잠도 짧게 자요.,불면
내 자신에 대한 자신감이 없어서 그런 것 같아요.,자신감저하
할머니가 치매를 앓으셔서 그 전부터도 되게 슬펐거든요.,슬픔
조각잠밖에 못 자서 너무 피곤해,불면
"와이프가 퇴근 시간이 지났는데 집에 안 들어오면, 혹시 무슨 일이 생겼나? 그런 생각부터 들어.",초조함
잘 때 최소 서너 번은 깨는 것 같아,불면
그러면서 정신이 너무 산만해지는거야.,초조함
진짜 요즘 내가 너무 쓰레기같고 한심해.,자존감저하
잠을 자도 피로가 그대로야,불면
비참한 기분 때문에 사는 게 힘들어,슬픔
살이 심각하게 빠진 것 같아,식욕저하
몸에 있던 살이 다 빠진 것 같아요,식욕저하
앙금이 남아,분노
그냥 난 아무 것도 못 할 것 같고 의욕도 없는 것 같고,무기력
자려고 누우면 이 생각이 계속 나서 잠도 안 와요.,불면
잠을 잘 잘 때도 있지만 못 잘 때도 많아요.,불면
요즘 머리가 안 돌아가는 느낌이야,집중력저하
사소한 잘못을 해도 내가 죄인처럼 느껴져,죄책감
내 집이 생겼어,일상
너무 멀리 시집오지 말걸 그랬어,죄책감
뭘 해도 답답함이 사라지지 않아,초조함
사람들이 괜찮다고 위로를 해줘도 내 자신이 너무 한심스러워서 견딜 수가 없어,자존감저하
너무 괴롭고 절대로 도망칠 수 없을 거 같았어요.,절망감
대학 다 떨어졌어,일상
그 순간 머리가 멍하고 어지러웠지만 이후엔 다른 증상 없이 잘 지냈어요.,우울감
처음에는 좋았는데 계속 이러니까 너무 걱정되고 우울해진다,우울감
좀 많이 우울했어요.,우울감
시간마다 깨고 잘 때도 완전히 자고 있는 느낌이 안 들어.,불면
겨울이면 잠이 진짜 안 와,불면
하루 종일 멍해서 무서워,우울감
"윗집에서 애기를 키우는데, 아침에 애 우는 소리를 듣고 깜짝 놀라서 깬 적이 한두 번이 아니에요.",불면
힘이 너무 빠져서 정신을 못 차리겠어,피로
세상 어떤 음식도 맛이 없어요.,식욕저하
겨우 잠들었다 싶으면 새벽에 눈이 반짝 떠지고 중간에 깨면 그냥 아침까지 쭉 깨 있는 거야.,불면
바닥에 떨어진 것도 다 주워 먹을 기세야,식욕증가
눕기만 하면 자꾸 걱정되고 안 좋은 생각만 들거든.,초조함
제 인생이 너무 틀어진 것 같아요.,절망감
하루를 또 살아가야 한다는 사실이 너무 지쳐요.,무기력
건강하게 다이어트 하는 방법,일상
가만히 있기 힘들어서 집안일도 못 하겠어,초조함
한번 우울하면 진짜 제 스스로 손을 쓸 수 없을 만큼 심각한 상태가 되는 것 같아요.,우울감
술 잘 먹는다고 이야기해도 될까?,일상
깊이 못자다보니까 다음날 일어나도 개운하지 않아요.,불면
새벽에 혼자 자려고 하면 너무 긴장돼,초조함
이 공허함과 허망함은 무엇으로도 채울 수 없어,분노
친구들 얘기가 끊기면 내 잘못 같아,죄책감
외로워요 다 소용없는 짓인 것 같고요,외로움
모르겠어요. 그냥 하루종일 너무 우울해요.,우울감
안절부절못해서 티비도 가만히 못 보겠어,초조함
친정 식구들 조차 나를 째려보고 힘들게 해,자존감저하
농구하다 무르팍 깨짐,일상
한약은 왜이렇게 쓰지,일상
요즘 업무 스트레스가 많아서 하루에도 몇 번씩 기분이 오락가락해,초조함
쓸모 없는 인간으로 살아가는게 너무 괴롭다,자존감저하
너무 늘어지니까 힘들어 죽겠다,불면
왜 나는 저러지 못할까 생각해.,자신감저하
