utterance,intent
우울하니까 사는 맛이 안 나,우울감
우울해서 미치겠어,우울감
꿀꿀하니까 세상이 싫어져,우울감
아무리 노력해도 우울한 건 해결이 안 되는 것 같아,우울감
운동을 해도 우울해,우울감
맛있는 걸 먹어도 우울하다니까,우울감
세상이 꺼지는 것 같아,우울감
진짜 누가 위로 좀 해줬으면 좋겠어,우울감
어쩐지 갑자기 우울하더라,우울감
맞아 요즘 우울할 때가 많아,우울감
맞아 요즘 되게 우울했어,우울감
그래도 우울하단 말야,우울감
그래도 우울한 걸요,우울감
우울한 건 어쩔 수가 없어,우울감
그래도 우울해,우울감
자꾸 우울감이 들어,우울감
우울한 건 어쩔 수 없어,우울감
근데 계속 우울해,우울감
운동도 하던 걸 못 하니까 더 우울한 거 같아,우울감
우울증이 생겼다고 생각했어,우울감
요즘 정말 우울해,우울감
계속 우울하다,우울감
자꾸만 우울해져요,우울감
미친듯이 우울해요,우울감
계절이 바뀌니까 우울한 거 같아,우울감
날이 추우니까 우울해요,우울감
왜 우울하지,우울감
왜 자꾸만 우울할까,우울감
요즘 자꾸 우울한 이유가 뭘까,우울감
날씨가 안 좋아서 우울해요,우울감
왜 우울한 걸까요,우울감
이유없이 우울해,우울감
이유없이 우울하다,우울감
별 이유 없이 우울해져요,우울감
친구랑 만나면 더 우울해,우울감
우울하다고요,우울감
요즘 자주 우울한 기분이야,우울감
오빠 때문에 침울해,우울감
엄마 때문에 침울해요,우울감
요새 되는 일이 없어서 침울한 것 같아,우울감
술 못 마시니까 진짜 암울하다,우울감
단음식도 전부 끊었는데 임당 재검 떠서 침울해,우울감
임당 재검 떠서 암울해,우울감
단 음식 못 먹어서 진짜 암울 그 자체야,우울감
흰죽만 먹고 갔는데도 임당검사 또 해야 한데서 레알 한숨 나와,우울감
노산이라 침울해져,우울감
대화가 안 통하니까 침울하지,우울감
임산부라고 쳐다보는 시선 때문에 침울해져요,우울감
대화가 안 통하니까 세상 침울합니다,우울감
오늘 상담 받고 왔는데 진짜 침울해지는 것 같아,우울감
유도 실패해서 침울해,우울감
재검 해야 한다고 해서 침울하다,우울감
갑자기 암울해,우울감
하루 종일 몸도 무겁고 어디 나가지도 못하니까 진짜 암울해,우울감
엄마 자격이 없는 것 같아서 침울해,우울감
조기수축 때문에 퇴원을 못하니까 침울해져,우울감
살이 너무 쪄서 암울해요,우울감
암흑 속에 있는 것처럼 침울해,우울감
침울하니까 머리도 아픈 것 같아,우울감
혼자 있으면 암울해,우울감
하루하루 지나니까 더 침울해지는 것 같아,우울감
침울해서 돈을 쓰게 돼,우울감
암울해서 쇼핑으로 풀어,우울감
침울하니까 안 하던 짓을 하는 것 같아,우울감
매일 막 침울해지는 건 아닌데 가끔씩 그래,우울감
항상 침울한 건 아니고 외출 갔다 오면 그런 것 같아,우울감
밤에 특히 더 침울해져,우울감
세상 침울해서 오빠한테 화풀이해,우울감
침울하니까 강아지 못살게 굴고.. 나도 이상한 거 알아,우울감
암울하니까 괜히 소주만 찾아,우울감
계속 침울하니까 혼자 일기 써,우울감
혼자 있으면 더 침울해,우울감
혼자 있으면 진짜 암울해지는 것 같아,우울감
암울해서 담배 폈어,우울감
아침에 눈뜨면 진짜 암울해,우울감
병원에 있으면 암울해져,우울감
아는 사람들 없는 곳에 있으니까 자꾸 꿀꿀해지는 것 같아,우울감
심각하게 침울해지는 것 같아,우울감
애를 낳아야 하나 그런 생각도 했어,우울감
내가 너무 어두워지니까 친구들도 내가 변했대,우울감
계속 침울하니까 나도 내가 이상해진 걸 느낄 정도야,우울감
긍정적으로 생각하고 싶어도 안 돼,우울감
그냥 조금 침울해,우울감
사람들은 육아 휴직한다고 좋겠다고 하는 말에도 침울해지고,우울감
하루하루 행복한 날이 없어,우울감
어떻게 매일 이렇게 안 즐겁고 힘들 수가 있지,우울감
너무나 암울하다,우울감
어떻게 이렇게 내 마음대로 안 될 수가 있을까,우울감
암울하니까 죽고 싶어,우울감
죽지 못해서 암울해,우울감
다 싫은데 뭘 어떻게 해야 할지 모르겠어,우울감
너무 암울한데 어떻게 하면 내가 좋아질까,우울감
마음이 무너지는 것 같아,우울감
애기가 꿈틀거리는 게 싫을 정도로 암울해,우울감
암울해서 내일 당장 어떻게 될 것 같아,우울감
사는 게 암울해요,우울감
인생이 암울해졌어,우울감
하루종일 침울해요,우울감
요즘 너무 침울해,우울감
어제는 계속 침울했어,우울감
이유 없이 멍해,우울감
이유 없이 멍해요,우울감
원인은 모르겠는데 멍해져,우울감
커피를 못 마시니까 멍한 것 같아,우울감
단 걸 끊으니까 멍해진 것 같아,우울감
상태가 안 좋다고 해서 멍해졌어,우울감
단 음식 못 먹으니까 정신이 몽롱해져,우울감
누워만 있어서 그런가 자꾸 멍 때려,우울감
남편과 생각이 달라서 멍해져,우울감
남편이랑 다툰 후로 계속 멍한 상태야,우울감
살찌고 나니까 진짜 멍해지는 것 같아,우울감
임신하고선 완전 멍해졌어,우울감
갑자기 멍해진 것 같아,우울감
멍해진 이유는 딱히 없어,우울감
어디 나가지도 못하니까 멍하게 있어,우울감
움직이는 게 힘드니까 멍한 상태가 되는 것 같아,우울감
몸이 무거우니까 그냥 멍,우울감
충격 먹고 멍해짐,우울감
병원에 하도 오래 있으니까 정신이 몽롱해지는 듯,우울감
이런저런 생각을 하다 보면 멍해져요,우울감
아침에 너무 멍해요,우울감
아침에 특히 멍해,우울감
아침에 특히 몽롱해,우울감
아침에 그렇게 몽롱하더라,우울감
아침에는 맨날 비몽사몽이야,우울감
아침마다 얼빠지는 것 같아,우울감
아침마다 너무 멍해지는 것 같아,우울감
늘 멍하게 있는 것 같아,우울감
무슨 일이 있든 그냥 멍한 것 같아,우울감
얼빠진 상태로 있어,우울감
티브이를 봐도 멍하고 매일매일 그래,우울감
가족들이 와도 그냥 멍 때려,우울감
머엉하면서 뭔가 내가 부유하는 것 같은 느낌이야,우울감
누가 옆에 있든 간에 그냥 멍하게 있어,우울감
계속 얼 빠져있으니까 일할 때도 엄청 실수 해,우울감
약을 먹은 것처럼 몽롱해,우울감
약 먹은 것처럼 멍해있어,우울감
약을 복용한 것처럼 멍해,우울감
계속 얼빠진 것처럼 있으니까 잊어버리는 것도 많아,우울감
멍하고 입맛도 없어,우울감
멍을 너무 심하게 때려,우울감
멍 때리는 게 너무 심해,우울감
멍 때리다가 미쳐버릴 것 같아,우울감
남편이 왜 이렇게 얼빠진 얼굴로 있냐고 할 정도야,우울감
멍 때리다 보면 시간이 훅 가버리는 것 같아,우울감
멍 때렸을 뿐인데 벌써 하루가 가있어,우울감
조금 몽롱한 상태로 있으면 바로 오후고 저녁이고 그래,우울감
하루 종일 멍해서 무서워,우울감
하루 종일 멍하게 한곳만 바라보고 있어,우울감
너무 심하게 멍해서 커피 마시게 되는 것 같아,우울감
그만 좀 멍 때리고 싶어,우울감
그만 멍 때리고 싶어요,우울감
멍 때리는 거 정말 지긋지긋함,우울감
멍을 너무 심하게 때리니까 사람들이 이상하게 생각하더라,우울감
내가 멍을 너무 심하게 때린대,우울감
너무 심하게 정신이 나가 있어서 약 먹는 것도 까먹어,우울감
사람들과 대화를 하는데도 혼자 정신이 딴 데 가있어서 힘든 것 같아,우울감
너무 멍 때리니까 위험한 순간이 생기는 거야,우울감
정신이 너무 심하게 몽롱해지는 듯,우울감
저번에도 멍 때려서 위험한 일이 생길 뻔했어,우울감
계속 멍하네,우울감
하루종일 멍해요,우울감
완전 멍하다,우울감
종일 멍하네,우울감
멍한 느낌,우울감
나 완전 멍한 느낌,우울감
요즘 너무 멍하네,우울감
요즘들어 자꾸 멍한 느낌이야,우울감
저녁에 너무 멍하다,우울감
입덧 때문에 힘이 안 나,우울감
입덧이 심해지니까 힘을 못 쓰겠고 우울해,우울감
입덧 시작하니까 너무 우울해지고 아무것도 못하겠어,우울감
왠지 우울하고 축 늘어지게 돼,우울감
운동 못 다니니까 점점 우울하고 무기력해지는 것 같아,우울감
임당 재검 떠서 우울하고 무기력해,우울감
직장 때문에 우울하고 무기력해,우울감
아기 때문에 우울하고 무기력해진다,우울감
노산이라 힘 빠지고 우울해,우울감
집안일만 생각하면 우울하고 무기력해지는 것 같아,우울감
이제 애 엄마가 될 생각하니까 막 우울하고 무력해지는 것 같아,우울감
출산 날이 다가오니까 진짜 우울하고 힘 빠져,우울감
임신하고 나니까 걱정만 쌓이고 늘어져요,우울감
결혼한 게 후회되면서 무기력해지고 있어,우울감
속에서 울렁거리는 게 너무 심해지면서 우울하고 무기력해져,우울감
이유는 모르겠는데 요새 계속 늘어지고 혼자 걱정하고 그래,우울감
임신초기라서 그런가 계속 우울하고 늘어져요,우울감
남편이 날 신경 써주지 않으니까 울적하고 아무것도 하기 싫어,우울감
몸이 무거워지니까 우울하고 아무것도 하기 싫고 그래,우울감
임신한 후부터 기분 좋은 날이 없고 시체처럼 무기력해졌어,우울감
요새 특히 우울하고 무기력해지고 있어요,우울감
아침에 특히 우울하고 무기력해,우울감
침대에 누우면 갑자기 우울해지고 힘도 안 들어가,우울감
입덧도 너무 심해져서 꿀꿀하고 심각하게 무기력해지고 있어,우울감
아침마다 꿀꿀하고 무기력해요,우울감
하루 종일 우울증 걸린 사람마냥 아무것도 하기 싫고 속은 울렁거려,우울감
아침마다 기분이 안 좋고 무기력하게 있어,우울감
아무것도 하고 싶지 않고 우울해서 집안일도 안 해,우울감
회사에 가기 싫고 우울해요,우울감
모든 게 싫고 아무것도 하기 싫어서 누워만 지내는 것 같아,우울감
진짜 뭐하나 하고 싶지 않고 누워만 있어,우울감
티브이도 재미없고 뭐하나 하고 싶은 게 없어,우울감
책 읽어도 우울하고 뭘 해도 나아지지도 않아,우울감
매일 우울해서 그냥 하루하루가 빨리 지나갔으면 좋겠어,우울감
기분 좋은 일 하나 없고 점점 더 무기력해지는 것 같아,우울감
혼자 있으면 더 무기력해지고 우울해져요,우울감
자고 일어나도 계속 졸리고 조금만 우울해지면 바로 드러누워,우울감
사람들과 있어도 계속 나른하고 멍하고 무기력해져,우울감
걱정만 쌓이고 일도 더 이상 못 할 것 같아서 그만뒀어,우울감
너무 우울하고 무기력해져서 퇴사했다,우울감
14주차인데 엄청 피곤하고 무기력해요,우울감
너무 우울하고 무기력해서 활력제라도 먹어야 할 것 같아,우울감
개 우울하고 피곤하고 안 먹으면 움직이질 못하겠어,우울감
너무 무기력하고 힘도 안 들어가서 영양제 안 먹음 안 될 것 같아,우울감
요새 진짜 너무 우울하고 무기력해졌어,우울감
우울하고 무기력해진 정도가 너무 심한 것 같아,우울감
무기력한데다 진짜 개 우울해,우울감
우울하고 모든 게 전부 귀찮아,우울감
집안일 하는 것도 너무 귀찮아서 아예 안 하고 싶어,우울감
아무것도 안 하고 계속 누워만 있고 싶어,우울감
아무것도 하기 싫고 진짜 너무 우울해,우울감
하고 싶은 것도 없고 그냥 잠만 자고 싶어,우울감
우울해지니까 계속 아무것도 안 하고 싶어,우울감
나도 좋은 생각하고 싶고 무기력한 게 없어졌으면 좋겠어,우울감
그만 우울해하고 밝은 생각을 하고 싶어,우울감
매일 꿀꿀하고 화장하고 씻는 것도 귀찮아서 자꾸 드러눕고 싶어,우울감
우울증 심해지면서 눈꺼풀은 무겁고 움직이기 싫어,우울감
심하게 우울해지고 무기력해지고 있어,우울감
우울하고 무기력한 게 심해서 미칠 것 같아,우울감
더 이상 아무것도 하고 싶지 않고 답답해,우울감
두 번째 임신이라 그런지 만사가 귀찮아,우울감
결혼생활이 순탄치 않아서 계속 의욕이 없어지는데 정신과 상담을 받아야 하니?,우울감
왜 이렇게 의욕이 없을까,우울감
왜 이렇게 의욕이 없을까요,우울감
왜 자꾸 의욕이 없어지는지 모르겠어,우울감
직장을 포기하니까 모든 일에 의욕이 사라지는 것 같아,우울감
되는 일이 없으니까 자꾸 의욕이 안 생겨,우울감
되는 게 없으니까 의욕이 1도 안 생겨요,우울감
기분이 조금이라도 처지면 의욕이 사라져요,우울감
오빠랑 싸우고 나면 바로 의욕이 사라지는 것 같아,우울감
기분이 안 좋으면 바로 텐션 떨어져,우울감
날씨가 안 좋으면 의욕이 감소 돼,우울감
임신하고 나서 의욕이 사라지고 있어,우울감
임신한 후부터 의욕이 사라지고 있는 것 같아,우울감
임신 후부터 점점 의욕이 사라지는 것 같아,우울감
임신 막바지라 의욕도 없고 심심해,우울감
몸이 아프니까 더 의욕이 안 생긴다,우울감
체력이 안 좋아지니까 뭐든 하기 싫어지는 것 같아,우울감
의욕상실인데 왜 이런진 모르겠어,우울감
삼십 대에 임신이라 진짜 의욕이 없는 것 같아,우울감
미친 듯이 졸리고 피곤하고 모든 게 귀찮아,우울감
밥 차리기도 귀찮아서 안 먹어,우울감
요샌 의욕이 없어서 매일 라면만 끓여먹어,우울감
한달 전부터 의욕이 사라졌어요,우울감
요새 특히 의욕이 사라졌어,우울감
재미있게 하던 일에도 의욕이 떨어져,우울감
좋아하던 일도 의욕이 사라졌어,우울감
남편도 보기 싫고 집안일은 너무 귀찮아,우울감
좋아하던 것도 너무 귀찮아,우울감
에너지가 너무 쉽게 방전 돼,우울감
의욕이 없으니까 하루 종일 핸드폰만 보고 있어,우울감
의욕이 아예 없는 것 같아,우울감
의욕이 금방 사라지면서 온갖 생각이 다 들어,우울감
뭘 해도 안 될 것 같고 하려고 했던 마음이 사라지는 것 같아,우울감
온갖 생각 다 들고 의욕은 끝없이 떨어지고..,우울감
일할 때도 집중이 안 되니까 실수 해,우울감
직장에 다니면 다닐수록 더 의욕이 떨어져,우울감
정신력이 약한 건지 일을 조금만 해도 귀찮아져,우울감
뭘 하든 너무 의욕이 없으니까 그냥 아무것도 안 하게 되는 것 같아,우울감
해야 하는 일이 생기면 갑자기 모든 게 하기 싫어요,우울감
밥 차려먹는 것도 귀찮아,우울감
너무 의욕이 없으니까 아무것도 하기 싫어,우울감
상담을 받으면 의욕이 생길까?,우울감
상담을 받으면 의욕이 생길 것 같니?,우울감
너무 의욕이 안 생겨서 약을 먹어야 할 것 같아,우울감
하려는 의지가 안 생기니까 병원에 가봐야 하는 것 같아,우울감
하려고 했던 마음이 자꾸 주니까 병원을 가고 싶어,우울감
취미생활을 해도 의욕이 안 생겨,우울감
취미생활을 하면 없던 의욕이 생길 것 같니,우울감
취미를 가지면 의욕이 생길까,우울감
의욕이 안 생겨서 너무 힘들어,우울감
자꾸 텐션이 떨어지니까 너무 힘든 것 같아,우울감
텐션이 너무 심하게 떨어져,우울감
의욕이 아예 안 생겨,우울감
열정이 사라진 건 어떻게 해결을 해야 하니,우울감
의욕이 없어서 민폐만 되는 것 같아,우울감
귀찮아서 집안일도 못하겠어,우울감
일하는 것도 너무 귀찮아,우울감
식단 신경 써서 먹는 것도 너무 귀찮아,우울감
삶을 포기한 사람처럼 지내는 것 같아,우울감
오빠 때문에 불면이 시작된 것 같아,우울감
오빠랑 얘기하는 날에는 유독 우울해서 잠이 안 와,우울감
이유는 모르겠는데 계속 잠은 안 오고 기분이 안 좋다,우울감
비타민 결핍 때문인지 우울증이랑 불면증 같이 왔어,우울감
잠을 못 자니까 더 우울해지는 것 같아,우울감
우울해지니까 잠을 못 자는 것 같아,우울감
우울하니까 잠도 안 와,우울감
우울해서 잠이 안 와요,우울감
잠을 잘 못 자니까 더 우울하고 그래요,우울감
35주차라 그런가 잠도 안 오고 우울해진다,우울감
앞으로 어떻게 할지 걱정이라 통 잠도 안 오고 우울하고 그래,우울감
임신하고 나서 잠도 못 자고 우울해요,우울감
임신 때문인지 계속 밤새고 우울해,우울감
마음이 힘드니까 잠을 못 자게 된 것 같아,우울감
속상하니까 불면증 왔나 봐,우울감
우울하니까 잠을 못 자겠어,우울감
휴직하고 나서 불면증에 우울증까지 왔어,우울감
막 달이라 그런가 잠도 안 오고 우울하고 그래,우울감
내 뜻대로 안 되는 몸 상태 때문인지 잠은 안 오고 생각도 많아져,우울감
순산이 수월치 않다는 거 느끼고 잠이 안 와요,우울감
새벽 4시에서 5시에 잠들고 오전 11시만 되면 깨는데 우울증 때문일까,우울감
불안하고 심장이 두근거리면서 잠도 안 오고 우울해,우울감
잠을 못 자니까 기분은 더 안 좋아지고 속이 안 좋고 토할 것 같아,우울감
우울하고 잠을 못 잔지는 오래됐어,우울감
자려고 누우면 항상 잡생각만 들어,우울감
계속 자다 깨다 하니까 더 우울해져,우울감
우울이랑 불면이 너무 심해서 약 먹어요,우울감
우울 불면 생겨서 수면제 먹어,우울감
불면증이 너무 심하게 와가지고 수면제 먹는데 너무 답답해,우울감
너무 답답하고..수면제 없인 못 지내겠어,우울감
잠을 못 자니까 하루 종일 힘도 없고 기운도 안 생겨요,우울감
계속 불면증이고 우울함도 지속 중이야,우울감
한 달 전부터 우울했고 잠도 못 잤어,우울감
잠을 자도 3시간 정도 밖에 못 자서 너무 힘들고 눈물 나,우울감
피곤한데 제시간에 못 자고 이마에 계속 뭐가 나고 우울해지고 그래,우울감
온 몸에 힘이 없고 무기력하고 불면증도 있어,우울감
피곤한데 잠은 못 자고 자꾸 우울해져,우울감
몇 주 전부터 갑자기 우울하고 잠도 안 와,우울감
낮에는 잘 자는데 밤에는 전혀 못 자고 침울해지고 그래,우울감
밤에 잠을 못 자니까 이런저런 생각을 하게 되고 힘든 것 같아,우울감
심각하게 우울해서 잠을 못 자,우울감
잠을 못 자고 우울해서 돌아버릴 것 같아,우울감
잠 못 자고 우울하니까 하루하루가 너무 힘들어,우울감
잠을 못 자니까 일상생활도 안 돼,우울감
우울하고 답답해서 밤새 잠도 못 자,우울감
걱정이 많아져서 잠을 못 자겠어,우울감
앞으론 어떻게 해야 하나 그런 생각이 들어서 그런가 며칠째 잠을 못 자,우울감
어떻게 해도 잠은 안 오고 답답한 게 해소가 안 돼,우울감
잠 자고 싶어서 온갖 방법을 동원했는데 아무 소용이 없고 꿀꿀해,우울감
잠도 안 오고 마인드 컨트롤하면서 지내려고 노력 중이야,우울감
마음을 편하게 먹으려고 해도 잠을 잘 못 자,우울감
우울하고 피곤하니까 회사생활도 잘 못하겠어,우울감
수면패턴 바꾸려고 낮잠도 안 자는데 불면증이 나아지지 않아요,우울감
우울증이랑 불면이 심해서 마음을 편하게 가지려고 노력하는데 잘 안 돼,우울감
"우울증, 불면증 때문에 하루하루가 너무 힘들다",우울감
불면이라 우울증 때문에 하루하루가 너무 힘들어요,우울감
걱정은 늘어가는데 잠도 못 자고 피곤해서 정말 미치겠어,우울감
잠은 안 오고 우울증은 심해지는데 나만 이런 거야?,우울감
불면이랑 우울이 해결이 안 되는데 나 어떻게 해야 할까,우울감
요샌 수면제 없인 자지도 못하고 기분은 똥이야,우울감
매일 반복되는 일상에 모든 게 재미없고 답답하다,우울감
동네에 친구도 없어서 너무 우울하고 사는 게 무료해,우울감
맥주도 못 마시니까 인생 노답이야,우울감
우울하니까 사는 낙이 없어,우울감
이유는 모르겠는데 뭐든 게 지겨워 우울해서 그런가,우울감
직장을 그만둬서 그런가 모든 게 재미없고 꿀꿀해,우울감
우울해서 그런가 재미있는 게 없어,우울감
우울해서 그런지 재미있는 게 없어요,우울감
모든 게 재미없으니까 우울해,우울감
임신하고 나선 좋아하던 거에 흥미를 잃고 우울하기만 해,우울감
이유는 모르겠는데 뭘 해도 재미없고 우울해요,우울감
임신 우울증인지 모든 게 재미없어,우울감
임신 우울증이 온 건지 재미있는 게 하나도 없어,우울감
담배도 못하니까 사는 낙이 없어지고 답답해요,우울감
급 무기력해지고 흥미가 안 생기는 게 우울증인 것 같아,우울감
둘째 임신이라 그런가 모든 게 재미없고 우울해,우울감
친한 친구들도 자주 못 봐서 그런지 사는 게 노잼이고 울적해,우울감
즐거운 일이 하나도 없으니까 우울해져,우울감
재미있는 일이 하나도 없어서 우울해,우울감
왜 이렇게 지치고 노잼인지 모르겠어,우울감
진짜 모든 욕구가 사라진 것 같은 기분이야,우울감
자꾸 기분이 쳐지고 하고 싶거나 먹고 싶은 게 없어,우울감
기분도 구리고 관심이 생기는 일이 단 한 개도 없네,우울감
우울한 상태로 자꾸 무기력하게 있으면 안 되니까 헬스도 끊었어,우울감
"우울하고, 모든 거에 감흥이 없어지는 기분이야",우울감
기분은 계속 오락가락하고 재미있는 건 하나도 없어,우울감
왜 이렇게 지치고 모든 게 노잼인지,우울감
매일매일 호르몬이 바뀌니까 좋아하던 것도 하고 싶지 않아,우울감
요새는 무슨 일을 해도 재미가 없고 기분이 좋지 않아요,우울감
"그냥 멍하고, 모든 게 그닥이라는 기분이 들어",우울감
출산이 다가올수록 암울해지고 재미있는 게 없어,우울감
우울하고 모든 게 재미없어서 눈물이 나,우울감
우울하고 노잼이니까 담배가 간절하더라,우울감
지치고 기분은 오락가락하고 왜 이렇게 우울한지..,우울감
사는 게 노잼이고 암울해요,우울감
인생 노잼시기가 온 것 같아서 운동을 시작했어,우울감
너무 노잼이고 우울해서 태교바느질을 시작했어,우울감
사는 낙이 없고 정신이 이상해지는 것 같아,우울감
남편이 없을 때는 밥 먹는 것도 우울하고 모든 게 재미없어,우울감
좋아하던 거에도 흥미가 안 가고 그냥 담배만 생각나,우울감
좋아하는 걸 해도 모든 게 지겹고 재미없어,우울감
회사도 육아도 전부 노잼이고 즐겁지가 않아요,우울감
인생 노잼시기가 온 것 같아서 우울해,우울감
좋아하는 게임을 해도 재미가 없고 즐겁지가 않아,우울감
인생 노잼시기가 온 것 같아서 힘들어요,우울감
즐겁게 하던 태교바느질도 좋지가 않아,우울감
태교요가도 노잼이고 마음이 힘든 것 같아,우울감
모든 게 다 그닥이라 어떻게 해야 하는지 모르겠어,우울감
많이 쉬어도 재미없고 답답해요,우울감
진짜 사는 낙이 없어서 태교요가도 시작했는데 그것도 재미가 없어,우울감
진짜 너무 노잼시기고 우울해요,우울감
너무 무의미하게 시간을 보내는 거 아는데 어떻게 해야 하는지 모르겠어,우울감
너무 우울하고 무기력해지니까 취미거리도 이것저것 하는데 다 재미없어,우울감
우울해서 티브이를 봐도 전부 재미없어,우울감
임신 후에는 재미있거나 신난다고 생각한 순간이 별로 없는 것 같아,우울감
너무 심심하고 우울해,우울감
진짜 뭘 해도 재미있지가 않으니까 어떻게 해야 하는지 모르겠어,우울감
심각하게 노잼시기라 노답이야,우울감
여자 노잼시기가 온 것 같아 어떻게 이렇게 노답일 수 있지,우울감
제발 예전처럼 신나고 재미있게 살고 싶어,우울감
요즘 관심 가는 것도 없고 우울하다,우울감
요즘 들어 관심 가는 것도 안 생기고 우울해,우울감
입덧 때문에 식욕이 줄었어,우울감
우울증 심해지면서 입맛이 없어,우울감
이유는 모르겠는데 꿀꿀하고 식욕이 없어,우울감
젖 도니까 입맛이 떨어지고 우울해,우울감
젖 돌고 나니까 우울증과 함께 입맛이 없어,우울감
호르몬 때문인지 우울하고 입맛도 없어,우울감
우울하니까 입맛을 잃었어,우울감
우울해지니까 입맛이 없어요,우울감
우울함 때문인지 입맛이 없네,우울감
꿀꿀하면서 입맛이 없어요,우울감
카페인 금단증상인가 우울하고 밥맛도 없어,우울감
금주 때문에 힘들어서 그런지 우울하고 입맛이 안 생겨,우울감
술을 못 먹으니까 우울하고 입맛도 없어진 것 같아,우울감
오빠가 너무 바빠서 입맛도 안 생기고 우울한가 봐,우울감
오빠한테 속상한 게 너무 많아서 그런가 입맛이 떨어졌어,우울감
친정을 못 가니까 입맛도 떨어지고 우울해,우울감
시댁만 가면 입맛이 절로 떨어지고 우울증이 도지는 것 같아,우울감
시어머니만 보면 답답하고 밥 생각도 안 나,우울감
시어머니 모시고 살아야 한다는 것만 생각하면 아무것도 먹기 싫어져,우울감
엄마 생각하면 우울하고 입맛이 없어져,우울감
식욕이 없어지면서 동시에 너무 울적해져요,우울감
멀쩡하다가도 젖이 돌면 아무것도 먹기 싫어,우울감
음식이 꼴도 보기 싫고 변덕이 심해졌어,우울감
먹었던 음식들이 후회되고 그냥 다 우울해,우울감
기분변화가 심해지고 식욕이 완전히 사라졌어요,우울감
뭘 먹어도 끝 맛이 안 좋아서 먹기 싫고 우울해,우울감
밥 먹을 때마다 돌 씹는 것 같아서 우울해,우울감
밥 먹는 게 너무 귀찮고 울적해지고 그래요,우울감
밥 먹을 때마다 억지로 먹게 되고 마음이 답답해요,우울감
통 입덧이 안 끝나니까 계속 우울하고 뭐 먹기가 싫어,우울감
입덧 때문에 먹지도 못하고 우울해,우울감
우울하고 밥 생각도 없는데 살이 빠지진 않았어,우울감
12주차 들어서면 입맛도 사라지고 기분도 개 꿀꿀해,우울감
식욕이 없어진 것 같고 기분은 안 좋아,우울감
처음보다 허기지고 그런 게 사라지고 그냥 우울해,우울감
한 입 두 입 먹으면 더 안 들어가고 기분은 나락으로 떨어지는 것 같고 그래요,우울감
먹으라고 하니까 더 기분이 안 좋고 꼭 먹어야 하나 괜히 우울해져,우울감
꿀꿀하고 과일 말고는 딱히 먹고 싶은 게 없어,우울감
밥만 보면 거부감생기고 우울하고 그래,우울감
우울하고 입맛이 없으니까 하루 한끼만 먹어,우울감
식욕이 너무 없어,우울감
9주정도 됐는데 식욕이 완전히 사라졌어,우울감
식욕이 너무 없는데 원래 이렇게 식욕도 떨어지고 그래?,우울감
22주가 넘었는데도 식욕이 없어,우울감
우울하고 조금 먹는 것도 힘들어,우울감
31주인데도 계속 식욕이 없어,우울감
심각하게 식욕이 없는 것 같아,우울감
임신전보다 먹는 양이 반으로 줄었어,우울감
계속 우울하고 먹는 것도 줄어요,우울감
계속 식욕이 안 돌아오고 울적해요,우울감
