utterance,intent
결혼준비하는데 돈 얼마나 드나,일상
결혼하는데 돈 많이 드네,일상
결혼하는데 돈 얼마나 들까,일상
결혼하면 좋아?,일상
결혼하면 좋을까,일상
결혼하면 행복할까?,일상
결혼하면 행복해?,일상
결혼하면 행복해질까?,일상
결혼할까,일상
결혼해도 되나,일상
결혼해도 될까,일상
결혼해야 하나,일상
경쟁이 너무 치열해,일상
계속 공부해도 될까,일상
계속 도전하는 거 귀찮아,일상
계속 방학이면 좋을텐데,일상
계속 보고 싶어,일상
계속 보고 싶으면 어떡해?,일상
계속 속이 진짜 안 좋아,일상
계속 엇갈리는 느낌,일상
계속 학생하고 싶어,일상
계속 한숨만 나와,일상
고3은 공부만 해야겠지.,일상
고3이니까 공부해야겠지,일상
고구마 다이어트 해야지,일상
고구마만 먹고 다이어트 해야지,일상
고기 구워 먹고 싶다.,일상
고기 먹고 싶어,일상
고데기 망했어,일상
고데기 했는데 망했어,일상
고독한 밤,일상
고마운 사람들이 많아,일상
고무신 거꾸로 신으면 어쩌지,일상
고민 있어,일상
고민 좀 들어줄래,일상
고백하고 후회하면 어떡하지,일상
고시원 너무 답답해,일상
고시원 답답해,일상
고시원에서 나가고 싶어,일상
고시원에서 탈출하고 싶어,일상
고양이 동영상 보는 중,일상
고양이 키우고 싶어,일상
고의는 아닌데 실수를 한 거 같아,일상
고집 센 사람,일상
고집하고는,일상
골프 못 치는데,일상
골프 배워야 돼,일상
골프 어려워,일상
골프치러 가야돼,일상
곱창 먹고 싶어.,일상
곱창 생각나,일상
공무원 괜찮겠지,일상
공무원 되고 싶다,일상
공무원 되면 좋겠다,일상
공무원 시험 공부 힘들다,일상
공무원 시험 죽을 거 같아,일상
공무원 시험 힘들어,일상
공무원 준비할까,일상
공무원이 좋지?,일상
공복이라 신경이 예민해져,일상
공복이라 예민해,일상
공복이면 예민함?,일상
공부 계속해도 될까,일상
공부 꼭 해야 할까,일상
공부 때려치워야 하나,일상
공부 시작해도 될까,일상
공부 왜 해야 돼?,일상
공부 잘 안돼,일상
공부 잘하고 싶어,일상
공부 좀 더 할 걸,일상
공부 하기 싫다,일상
공부는 내 체질이 아닌 것 같아,일상
공부로 먹고 살 수 있을까,일상
공부방법이 잘못된걸까?,일상
공부하기 싫어,일상
공부하기 싫은 날,일상
공부하는 낙이 없어,일상
공부하는 이유?,일상
공부하는 이유가 없어,일상
공시 준비 힘들어,일상
공시 준비중,일상
공시 준비하는데 힘들다,일상
공시생이야,일상
공연 보고 싶어,일상
공연 보러 가고 싶어,일상
공책 필기 나만 힘들어?,일상
공황장애 생겼어.,일상
공황장애 있어,일상
공휴일에는 집이 최고,일상
공휴일에는 집콕,일상
과거는 잊고 앞으로 나아 가야지,일상
과거는 중요하지 않아,일상
과식해서 소화가 안돼,일상
과식했나 봐,일상
과식했다,일상
과외비 부담되겠지?,일상
과외비 비싸?,일상
과일 먹고 자야지,일상
과일 먹어야지.,일상
과일 안 먹게 돼,일상
과일 잘 안 먹게 돼,일상
과일 챙겨 먹어야지,일상
관계가 계속 애매하다.,일상
관심 끄라고 하고 싶다.,일상
관심 좀 안 가졌으면,일상
관절염 같애,일상
관절염인가,일상
광고가 안 끝나,일상
괜찮아지고 있어,일상
괜찮은 사람인데 사귀긴 싫어,일상
괜히 건들지 말라고,일상
괜히 기다렸어,일상
괜히 농담해서 망했다,일상
괜히 아까운 시간 버렸다,일상
괜히 창피해,일상
괴물이 되어 가는 느낌이 들어,일상
교보문고 왔어,일상
교양 수업 재밌어,일상
교양수업 시간에 마음에 드는 애 있어,일상
교양수업 은근 재미져,일상
교양수업에서 마음에 드는 애 있어,일상
교양수업이 재미있어,일상
교양이 전공보다 재미있어,일상
교직이수 가능할까,일상
교통사고 났었어.,일상
교통사고 당했어,일상
교회 가기 싫어,일상
교회 갔다 만났어,일상
교회에서 만났어,일상
구박하면서 엄청 일 시켜,일상
군대 갔다 올 때까지 기다릴 수 있을까,일상
군대 기다려 주려고,일상
군대 기다려도 될까,일상
군대 기다리면 부담스러워할까,일상
군대 기다릴 수 있을까,일상
군대 언제 끝나나,일상
군대 전역 기다려,일상
굿모닝,일상
궁금하면 오백원,일상
궁금하지?,일상
궁금해,일상
궁금해 알려줘,일상
귀 아파,일상
귀가 가려워,일상
귀가 간지러,일상
귀가 윙윙거려,일상
귀농 어때?,일상
그 사람이 나 안 좋아하는 거 같아,일상
그 사람이 나 좋아해줬으면 좋겠다,일상
그 사람이 행복했으면 좋겠다,일상
그 시절엔 다 그랬지,일상
그냥 고백할걸,일상
그냥 공무원이 좋을 듯,일상
그냥 내버려 둬 주었으면,일상
그냥 선 볼까?,일상
그냥 쉬고 싶다,일상
그냥 씹어야겠다.,일상
그냥 이렇게 살고 싶어,일상
그냥 자는 거 아니지?,일상
그냥 잘못했다고 하면 될거 같은데 자꾸 변명해,일상
그냥 택시 타야지.,일상
그냥 할까?,일상
그냥 혼자 밥이나 먹어야지,일상
그냥 혼자 있는게 좋아,일상
그동안 잘 지냈나요?,일상
그땐 그랬지,일상
그래 그러자,일상
그래 이제 결정했어,일상
그래도 좀 기대했는데,일상
그런 말을 왜 하지,일상
그런 사람인가보다 해야하나봐,일상
그런 사람인갑다 해야지,일상
그런 친구 아니었는데 너무 귀찮게 하네,일상
그렇게 갈 거면서,일상
그렇게 오래 살았는데도 이해를 못하겠어,일상
그렇게 할래,일상
그림 잘 그리고 싶다,일상
그림 좀 잘 그렸으면 좋겠다,일상
그만 두고 나오고 싶어,일상
그만 먹어야 하는데,일상
그만 살고싶어,일상
그저 그런 하루,일상
근사한 곳 알아 냈어,일상
근육 있으면 멋있을텐데,일상
금값 알아?,일상
금값 어때,일상
금사빠인가,일상
금수저 물고 태어나면 좋겠지?,일상
금수저로 태어났으면,일상
금수저로 태어났으면 좋았을텐데,일상
금연이 쉽지 않아,일상
기 빨렸어,일상
기념일 다 챙기는거 귀찮아,일상
기념일 또 까먹었어,일상
기념일 못챙겼어,일상
기념일 챙기기 귀찮아,일상
기능 좀 알려줘봐봐,일상
기다리는 것도 지쳐,일상
기다리라고 말 못하겠어,일상
기다림이 습관이 됐나봐,일상
기대가 무너졌어,일상
기대가 부담스러운데 떨쳐낼 수 있는 방법 있을까?,일상
기대하고 있었는데,일상
기대하지 말걸,일상
기대했는데,일상
기댈 수 있는 사람,일상
기력이 없어,일상
기름값 올랐어.,일상
기본이 뭔지도 모르는 것 같아.,일상
기본이 안 되어 있어,일상
기부 좀 했어요,일상
기부했어,일상
기분 꿀꿀해,일상
기분 나쁜 농담을 계속하고 있어,일상
기분 울적해서 좀 걷고 있어,일상
기분 전환 하고 싶어,일상
기분 전환이 필요해,일상
기분이 그지 같아,일상
기분이 더러워,일상
기분이 묘해,일상
기분이 이상해,일상
기숙사 괜찮을까,일상
기숙사 떨어졌어,일상
기숙사 사는거 어떨까?,일상
기숙사 살면 불편해?,일상
기숙사 안됐어,일상
기술 배울까,일상
기차 타고 여행 가고 싶어,일상
기차여행 가고 싶어,일상
기침도 못하겠어,일상
기침도 편하게 못해,일상
기프트콘 받았어!,일상
기프트콘 선물 괜찮을까?,일상
기프트콘 선물해볼까?,일상
기프트콘 주면 좋아할까?,일상
기프트콘으로 선물 받았어,일상
기프트콘으로 선물 해야겠다,일상
기회를 놓쳤어,일상
기회를 못 잡았어,일상
기획사니까 당연히 예쁜 애들 많겠지,일상
기획사에 예쁜 애들 많겠지,일상
긴 머리 관리 어렵다.,일상
긴 머리 관리하는 거 힘들다,일상
긴 시간이 걸렸지만 괜찮아.,일상
긴장 푸는 법 알려줘,일상
긴장돼,일상
긴장돼서 땀나네,일상
길거리에서 연락처 물어보면 줘도 되나,일상
길에서 담배 피우는 사람 싫어,일상
길에서 번호 따였어,일상
길에서 전번 물어보면 줘도 되나,일상
길에서 헌팅 당했어,일상
길은 멀고 해는 진다,일상
길이 미끄러워서 미끄러질뻔했어,일상
길이 안보여,일상
길이 얼어서 미끄러질뻔했어,일상
길이 얼었어,일상
김떡순 먹고 싶어.,일상
김치도 없네,일상
김치볶음밥 먹어야지,일상
김치볶음밥이나 만들어 먹어야지,일상
김치찌개 먹고 싶어,일상
까아 오빠들 컴백한다,일상
깜깜한데 전기 안들어오네,일상
깡 마른 거 같아,일상
꼴 사나워질 것 같은데,일상
꽃 받고 싶다,일상
꽃 사고 싶어,일상
꽃 살까?,일상
꽃 선물 좋아할까,일상
꽃 선물해 볼까,일상
꽃 예쁘게 말렸어,일상
꽃게탕 맛있다.,일상
꽃게탕 진짜 밥도둑,일상
꽃꽂이 배우는 중,일상
꽃꽂이 배우니까 좋다,일상
꽃놀이 가고 싶어,일상
꽃다발 말려봐야지,일상
꽃다발 말리면 에쁘겠지.,일상
꽃다발 받았어,일상
꽃다발 샀어,일상
꽃다발 선물 괜찮지?,일상
꽃다발 선물 받았어,일상
꽃다발 선물 어때?,일상
꽃다발 준비했어,일상
꽃바구니 선물이랑 과일 바구니 선물 뭐가 좋아?,일상
꽃바구니가 좋을까 과일바구니까 좋을까,일상
꽃선물 받고 어,일상
꿀잼,일상
꿈은 많은데,일상
꿈이 너무 많아,일상
꿈이 너무 무서웠어,일상
꿈이 다양해,일상
꿈이 두 개야,일상
꿈이 없어,일상
꿈이 이루어질까?,일상
꿈이 자꾸 바뀌어,일상
꿈이 현실이었으면,일상
끝나니까 허무하다,일상
끝나면 좋을 줄 알았는데.,일상
낌새가 이상하더니 딱 걸렸어,일상
낌새가 있더니 딱 걸렸어,일상
나 감정쓰레기통이었나봐,일상
나 갖고 장난친건가,일상
나 같은 사람은 동물 키우면 안되겠지,일상
나 같이 예쁜 애를 왜 갈구지,일상
나 거짓말 못하겠어,일상
나 결정 잘 한거지?,일상
나 결정했어,일상
나 괜찮지 않니,일상
나 교직이수할 수 있을까?,일상
나 그동안 뭐한거니,일상
나 그지임,일상
나 내일 기숙사 가야돼,일상
나 내장비만이래,일상
나 너무 못 생겼어,일상
나 너무 소심해,일상
나 노트북 사줘,일상
나 놀려먹기 쉬운가?,일상
나 누구게?,일상
나 누락됐나봐,일상
나 다른 거 할까,일상
나 대충한 거 아닌데,일상
나 뒷담화하는 애 어떻게 할까?,일상
나 뒷담화하는 애 있다는데 어떻게 하지?,일상
나 많이 기대했는데,일상
나 말 실수한 거 같아.,일상
나 맨날 속는 거 같아,일상
나 머리 나쁜 듯,일상
나 머리가 나뿐 것 같아,일상
나 먼저 잘게,일상
나 모르는게 왜 이렇게 많지,일상
나 몰래 사귀는 거 같애,일상
나 무시 당한 거 같아,일상
나 무시하는 거 같아,일상
나 무시하는 사람 어떻게 해?,일상
나 무시하는 사람 짜증나,일상
나 문제가 많은거 같아,일상
나 뭐하는 거지,일상
나 미팅한다!,일상
나 바뀌고 싶어,일상
나 바본인가 봄,일상
나 백수야,일상
나 버림 받은 거 같아,일상
나 보이스피싱 당한 거 같은데 어떡해?,일상
나 비만이야,일상
나 사랑하니?,일상
나 상 받는대!,일상
나 새 옷 샀다,일상
나 서류에서 광탈했어,일상
나 소개팅한다!,일상
나 속은 거 같아,일상
나 속은듯,일상
나 수학여행 간다,일상
나 스마트폰 중독인가봐,일상
나 승진했어,일상
나 실수한건가,일상
나 실수했나,일상
나 아재인가,일상
나 아직 어른 아닌 거 같아,일상
나 아직도 애 같아.,일상
나 어때?,일상
나 여기서 뭐하는 거지,일상
나 연기 너무 못해 거짓말 못하겠어,일상
나 열심히 할거야,일상
나 오늘 개불쌍,일상
나 오늘 따라 잘생겨 보이네,일상
나 오늘 상 받았지롱,일상
나 완전 계탔어!,일상
나 왕따야,일상
나 왕따인거 같아,일상
나 왜 멍청해,일상
나 왜 이러지?,일상
나 왜케 못 생겼지,일상
나 요즘 정신 놓고 살고 있는 거 같아,일상
나 욕 먹는 거 같아,일상
나 웃겨 봐,일상
나 은근 무시하는 애 있어,일상
나 이상한가,일상
나 이상해?,일상
나 이제 졸업해,일상
나 인정받고 싶어,일상
나 잘 살 수 있겠지,일상
나 잘생겼지?,일상
나 잘하고 있는 건지 모르겠어,일상
나 잘하고 있는 걸까?,일상
나 잘하는 게 없어,일상
나 잘하는게 없는거같아,일상
나 잘할 수 있을까,일상
나 점점 괴물이 되고 있어,일상
나 정신차리게 말해줘,일상
나 좀 건들지 마,일상
나 좀 건들지 말라고 해,일상
나 좀 내버려 두면 좋겠어,일상
나 좀 내버려 뒀으면,일상
나 좀 안 건들였으면 좋겠어,일상
나 좀 좋아해줬으면,일상
나 좀 쩌는 듯,일상
나 좀 칭찬해줘,일상
나 좋아하게 만들고 싶다,일상
나 좋아하는 것 같아,일상
나 좋아해주는 사람 있겠지?,일상
나 주름살 있나?,일상
나 죽을 뻔함,일상
나 짤릴 거 같아,일상
나 쫌 불쌍한 거 같아,일상
나 챙겨줄 사람이 필요해,일상
나 천재 같아,일상
나 천재임,일상
나 축구는 진짜 잘해,일상
나 친구들한테 인정받고 싶어,일상
나 폭식증인듯,일상
나 폰 중독인 거 같애,일상
나 폰겜 너무 많이해,일상
나 폰겜했더니 몇 시간 갔어,일상
나 할 수 있어,일상
나 함부로 말하는 거 고치고 싶어,일상
나 혼자 야근해,일상
나 혼자 여행 왔는데 괜찮네,일상
나 혼자서 축구 본다,일상
나 화장을 너무 못해,일상
나 화장이 잘 안돼,일상
나 회사에서 인정받고 싶어,일상
나가기도 귀찮아,일상
나는 그냥저냥 사는 거 같아,일상
나는 기분 나쁜데 농담이라고 계속해,일상
나는 나약한 존재,일상
나는 누구인가,일상
나는 모자란 사람인 거 같아,일상
나는 뭐든 할 수 있다.,일상
나는 뭘 잘할까,일상
나는 왜 이 모양일까,일상
나는 왜 이렇게 태어났을까?,일상
나는 왜 태어났을까,일상
나는 잘 할줄 아는 게 없는 것 같아,일상
나는 좋아하는 게 뭘까,일상
나는 좋은데 .,일상
나는 친구가 없어,일상
나는 친구라고 믿었는데,일상
나도 괜찮은 사람인데,일상
나도 대우 받고 싶다고,일상
나도 비키니 입고 싶다,일상
나도 상 받고 싶다,일상
나도 약초 캐볼까?,일상
나도 월급 필요해,일상
나도 위로 받고 싶다,일상
나도 이벤트가 되다니!,일상
나도 이제 아재인가,일상
나도 중국 진출해볼까?,일상
나도 집 사고 싶어,일상
나도 커플룩 입고 싶다,일상
나두 잘할거야,일상
나들이를 가볼까,일상
나란 놈,일상
나랑 놀아줘,일상
나랑 놀자,일상
나랑 상관 없는 이야기들,일상
나랑 있는게 힘들었나봐,일상
나른하다,일상
나를 기다려줬으면 좋겠다,일상
나를 너무 오래 기다리게했어,일상
나를 너무 함부로 대해,일상
나를 미소짓게 만든 너,일상
나를 바꿀 수 있는 건 뭐가 있을까,일상
나를 친구로 생각 안했나봐,일상
나를 호구로 아는 사람 어떡해?,일상
나를 힘들게 하는 사람인데 붙잡고 싶어,일상
나만 갈궈,일상
나만 기다렸나봐,일상
나만 꿈 없이 사는 거 같아,일상
나만 남친 없어,일상
나만 뒤처지는 느낌이야,일상
나만 반친구 없어,일상
나만 빼고 행복해보여,일상
나만 설레나,일상
나만 설레는 거야,일상
나만 솔로야,일상
나만 애기봐,일상
나만 야근해,일상
나만 우스워질거 같아,일상
나만 이상한 사람이래,일상
나만 이상해졌어,일상
나만 일시켜서 짜증폭발,일상
나만 제자리걸음이야,일상
나만 제자리인듯,일상
나만 진급 못했어,일상
나만 친구라고 생각한건가,일상
나만 친구로 생각했나봐,일상
나만 힘든 거 아니지?,일상
나만의 시간이 필요한 것 같아,일상
나만의 시간이 필요해,일상
나빼고 다 행복한 거 같아,일상
나쁜 꿈 꿨어,일상
나이 때문에 무시 받았어,일상
나이 어리다고 무시해,일상
나이가 많은데 취직이 될까,일상
나이도 있으니 영양제 좀 챙겨볼까,일상
나이들면서 눈물이 많아졌어,일상
나이먹으니까 주름살 생겨,일상
나중에 뭐하고 먹고 사냐,일상
나중에 뭐할까 고민이야,일상
나중에 창업해야 겠지,일상
나한테 감추는 게 하나도 없었으면,일상
나한테 거짓말 좀 안 했으면,일상
나한테 냄새 나면 어쩌지?,일상
나한테 냄새 날까?,일상
나한테 너무 많은 걸 바라는 듯,일상
나한테 문제가 많아,일상
나한테 상의 좀 하지,일상
나한테 상의하면 좋을텐데,일상
나한테 이상한 냄새 나나?,일상
나한테 할 말 있대 뭘까?,일상
나한테 행운 좀 왔으면 좋겠어,일상
나한테만 예의 차리래,일상
나한테만 왜 이런 일이 일어날까,일상
나한테만은 완전 솔직했으면,일상
낙엽 밟는 소리 좋다,일상
낙엽밟는 소리,일상
낚시 안 해봤는데,일상
낚시 안 해봤는데 재미있어 보인다,일상
낚시 재밌을까,일상
낚시 좋아하는 남자 어때?,일상
낚시는 무슨 재미?,일상
난 동물 못키울거 같아,일상
난 많이 노력한 거 같은데,일상
난 쓰레기야,일상
난 왜 예쁘게 말을 못할까,일상
난 왜 이모양일까,일상
난 정말 안되겠다,일상
난 진짜 쓰레기야,일상
난 천재다,일상
난방비 비싼데 추워,일상
난방이 안돼,일상
난방이 안돼나 추워,일상
날 몇시간동안이나 기다리게했어,일상
날씨 건조한 거 같애,일상
날씨 왜 이렇게 춥냐,일상
날씨 좀 풀린거 같아,일상
날씨 좋은데,일상
날씨 죽인다,일상
날씨 짱 좋아,일상
날씨 풀렸다,일상
날씨가 너무 눅눅해,일상
날씨가 너무 추워,일상
날씨가 북극같아,일상
날씨가 진짜 덥다,일상
날아 가고 싶어,일상
남동생한테 자꾸 화내게 되네,일상
남들에게 인정받으려면 어떻게 해야 돼?,일상
남들이 날 욕하는 거 같아,일상
남들이 다 손가락질 하는 거 같아,일상
남은 휴가가 없어,일상
남의 눈을 너무 신경써,일상
남의 일 도와줘야 할까,일상
남의 차 긁었어 내 돈,일상
남이 걷지 않는 길을 가려고 해,일상
남자 보통 어디서 만나,일상
남자 어디서 만나,일상
남자 친구가 바래다 줬어,일상
남자 화장하는 거 어때,일상
남자가 낚시를 너무 좋아해,일상
남자가 화장하는 거 어떻게 생각해,일상
남자면 편할 것 같아,일상
남자였으면 좋겠어,일상
남자인지 여자인지 알려줘,일상
남자친구 교회 데려가고 싶어,일상
남자친구 또 운동 갔어,일상
남자친구 생일인데 뭘 줄까,일상
남자친구 승진 선물로 뭐가 좋을까?,일상
남자친구 오늘 따라 훈훈해 보인다,일상
남자친구 오늘 좀 질린다.,일상
남자친구가 나 안 믿어줘,일상
남자친구가 너무 바빠,일상
남자친구가 너무 운동만 해,일상
남자친구가 너무 잘생겼어,일상
남자친구가 데려다줬어,일상
남자친구가 맞춤법을 너무 많이 틀려,일상
남자친구가 사업 시작한대,일상
남자친구가 사업한대,일상
남자친구가 사진 실력 꽝,일상
남자친구가 사진을 너무 못 찍어,일상
남자친구가 안놀아 줘,일상
남자친구가 애교가 많아,일상
남자친구가 욕함,일상
남자친구가 의심해,일상
남자친구가 이벤트 해 주면 좋겠다.,일상
남자친구가 이벤트를 잘 안해줘,일상
남자친구가 입이 험해,일상
남자친구가 자꾸 잔소리해,일상
남자친구가 잔소리가 심해,일상
남자친구가 전화를 잘 안해,일상
남자친구가 전화하는 걸 안 좋아해,일상
남자친구가 홧김에 욕함,일상
남자친구는 어디서 만나,일상
남자친구랑 봉사활동 해보려고,일상
남자친구랑 종교 문제로 다툼,일상
남자친구랑 종교가 달라,일상
남자친구한테 질린 거 같아,일상
남친 SNS에 내 사진 없어,일상
남친 때문에 살찐 듯,일상
남친 보여줄까,일상
남친 생일선물 뭘 주면 좋을까,일상
남친 승진 선물 추천,일상
남친 어디서 만나,일상
남친 프로필에 내 사진 왜 안올릴까,일상
남친 프사에 내 사진 없어,일상
남친이 SNS에 내 사진에 안 올려,일상
남친이 입이 험해,일상
남친한테 교회 가자고 하고 싶어,일상
남편이 나 안 도와줘,일상
남편이 나보다 집안일 더 잘해,일상
남편이 맨날 늦게 들어와,일상
남편이 미워,일상
남편이 아기를 안 돌봐줘.,일상
남편이 왜 애키우는거 안 도와줄까,일상
남편이 육아를 안해,일상
남편이 육아에 무신경해,일상
남편이 집안일 안 도와줘.,일상
남편이 집안일 안 해,일상
남편이 집안일을 너무 잘해,일상
남편이 짜증나게해,일상
남편이 하나도 안 도와줘,일상
남편이 회식이라고 안와,일상
남편이 회식하면 늦게 들어와,일상
낭만이 사라진 것 같아,일상
낭만이 없어,일상
낭만이라고는 없어가지구,일상
내 남자친구 보고 싶어?,일상
내 남자친구 아이돌이면 좋겠다.,일상
내 능력이 너무 모자라,일상
내 마음을 알아줬으면,일상
내 마음을 좀 알아 달라고,일상
내 몸이 여러 개 였으면 좋겠다,일상
내 문제는 뭘까,일상
내 문제점이 뭘까,일상
내 배우자는 어디 있을까,일상
내 배우자도 어디 있을까?,일상
내 사수 너무 깐깐해,일상
내 생각대로 살거야,일상
내 생각이랑 다른 사람 생각이 진짜 다르다는 걸 느껴,일상
내 성격 너무 소심해,일상
내 스타일 아니던데,일상
내 스타일 아니야,일상
내 실력 좀 쩌는 듯,일상
내 얼굴이 읽히나,일상
내 여자친구 아이돌이야,일상
내 외모 맘에 안들어,일상
내 월급만 안 올라,일상
내 의견 좀 존중해 줬으면,일상
내 의견을 존중해줬으면,일상
내 의지는 상관없나봐,일상
내 의지로 안되는 일인가봐,일상
내 이름이 없어,일상
내 인생 답 없어,일상
내 인생은 가시밭길 같아,일상
내 인생의 주인공은 나야,일상
내 일 아닌데 해야 돼?,일상
내 자존감,일상
내 잘못이 뭔지 모르겠어,일상
내 잘못인 거 같은데 말을 못하겠어,일상
내 잘못인 거 같은데 어떻게 털어놓지,일상
내 주제를 모르고 덤빈건가,일상
내 지인한테 내 험담했대,일상
내 집이 생겼어,일상
내 짝은 어디있을까,일상
내 친구에게 내 험담을 하다니,일상
내 키 맞춰 봐,일상
내 키가 몇이게?,일상
내 편이 없는 거 같아,일상
내 편이라고는 하나도 없는 거 같아,일상
내가 그렇게 부족한가,일상
내가 그르친 거 같아,일상
내가 그사람이랑 진짜 결혼해도 될까,일상
내가 기대를 너무 많이 했나봐,일상
내가 나빴네,일상
내가 너무 방심했어,일상
내가 너무 생각없이 말했어,일상
내가 너무 쉽게 보였나?,일상
내가 너무 초라해,일상
내가 다른 무슨 말을 하겠어,일상
내가 만족을 못해,일상
내가 많이 부족한가,일상
내가 말하면 왜 비난만 할까,일상
내가 멍청한거지,일상
내가 무능력하게 느껴져,일상
내가 뭘 잘못했을까,일상
내가 뭘 좋아하는지 잘하는지 모르겠어,일상
내가 바보지,일상
내가 부족하니까 이렇게 밖에 안된거겠지.,일상
내가 불효녀야,일상
내가 불효자야,일상
내가 사랑할 자격이 있나,일상
내가 쉬워보이나?,일상
내가 쓸모없는 인간 같아,일상
내가 아무것도 아닌 사람 같아,일상
내가 왜 해야하는지 모르겠어,일상
내가 원하는 사람이 되기 어려워,일상
내가 이래뵈도 괜찮은 사람인데,일상
내가 이렇게 또 불효를 한다.,일상
내가 이상한 건가?,일상
